rxcui,who_check,who_note
197736,UNCONFIRMED,"no WHO snapshot for these L4s"
1435176,GAP,"resolver status RETIRED_NO_REMAP"
1364052,UNCONFIRMED,"no WHO snapshot for these L4s"
1293420,GAP,"resolver status L4_ONLY"
1650696,UNCONFIRMED,"no WHO snapshot for these L4s"
1876392,UNCONFIRMED,"no WHO snapshot for these L4s"
1294248,UNCONFIRMED,"no WHO snapshot for these L4s"
707544,GAP,"no L5 codes"
801012,GAP,"resolver status L4_ONLY"
308760,GAP,"no L5 codes"
1997508,UNCONFIRMED,"no WHO snapshot for these L4s"
998232,GAP,"no L5 codes"
876852,UNCONFIRMED,"no WHO snapshot for these L4s"
313092,CONFIRMED,"L4 in WHO snapshot"
881376,UNCONFIRMED,"no WHO snapshot for these L4s"
749736,UNCONFIRMED,"no WHO snapshot for these L4s"
833472,GAP,"resolver status L4_ONLY"
310476,UNCONFIRMED,"no WHO snapshot for these L4s"
905100,GAP,"no L5 codes"
2168532,CONFIRMED,"L4 in WHO snapshot"
1100016,UNCONFIRMED,"no WHO snapshot for these L4s"
1189668,GAP,"resolver status L4_ONLY"
543492,UNCONFIRMED,"no WHO snapshot for these L4s"
1011852,UNCONFIRMED,"no WHO snapshot for these L4s"
1038768,UNCONFIRMED,"no WHO snapshot for these L4s"
2184168,UNCONFIRMED,"no WHO snapshot for these L4s"
1085640,UNCONFIRMED,"no WHO snapshot for these L4s"
855492,GAP,"resolver status L4_ONLY"
2167740,GAP,"resolver status L4_ONLY"
2182800,GAP,"resolver status L4_ONLY"
1091208,GAP,"resolver status RETIRED_NO_REMAP"
1091892,UNCONFIRMED,"no WHO snapshot for these L4s"
1232712,UNCONFIRMED,"no WHO snapshot for these L4s"
1043760,UNCONFIRMED,"no WHO snapshot for these L4s"
245220,GAP,"resolver status L4_ONLY"
1739988,UNCONFIRMED,"no WHO snapshot for these L4s"
477144,UNCONFIRMED,"no WHO snapshot for these L4s"
859368,UNCONFIRMED,"no WHO snapshot for these L4s"
1006200,UNCONFIRMED,"no WHO snapshot for these L4s"
1796712,GAP,"resolver status RETIRED_NO_REMAP"
1867944,GAP,"resolver status L4_ONLY"
1486452,UNCONFIRMED,"no WHO snapshot for these L4s"
1535484,UNCONFIRMED,"no WHO snapshot for these L4s"
1856424,UNCONFIRMED,"no WHO snapshot for these L4s"
1300908,UNCONFIRMED,"no WHO snapshot for these L4s"
1300740,UNCONFIRMED,"no WHO snapshot for these L4s"
1290936,UNCONFIRMED,"no WHO snapshot for these L4s"
1361568,UNCONFIRMED,"no WHO snapshot for these L4s"
1362024,GAP,"resolver status RETIRED_NO_REMAP"
664704,UNCONFIRMED,"no WHO snapshot for these L4s"
751884,UNCONFIRMED,"no WHO snapshot for these L4s"
707352,UNCONFIRMED,"no WHO snapshot for these L4s"
372696,GAP,"resolver status RETIRED_NO_REMAP"
882504,UNCONFIRMED,"no WHO snapshot for these L4s"
636528,GAP,"resolver status L4_ONLY"
727488,GAP,"no L5 codes"
308232,GAP,"resolver status L4_ONLY"
758988,GAP,"resolver status L4_ONLY"
349212,UNCONFIRMED,"no WHO snapshot for these L4s"
800928,GAP,"resolver status L4_ONLY"
846192,UNCONFIRMED,"no WHO snapshot for these L4s"
2168448,GAP,"resolver status RETIRED_NO_REMAP"
403908,GAP,"resolver status L4_ONLY"
1000656,UNCONFIRMED,"no WHO snapshot for these L4s"
1049232,CONFIRMED,"L4 in WHO snapshot"
1111680,UNCONFIRMED,"no WHO snapshot for these L4s"
108852,UNCONFIRMED,"no WHO snapshot for these L4s"
1234500,GAP,"resolver status RETIRED_NO_REMAP"
1114896,GAP,"resolver status L4_ONLY"
242736,UNCONFIRMED,"no WHO snapshot for these L4s"
606768,GAP,"resolver status RETIRED_NO_REMAP"
1926456,UNCONFIRMED,"no WHO snapshot for these L4s"
197952,GAP,"resolver status L4_ONLY"
1868028,GAP,"resolver status L4_ONLY"
1918056,UNCONFIRMED,"no WHO snapshot for these L4s"
1241796,GAP,"resolver status L4_ONLY"
1293660,UNCONFIRMED,"no WHO snapshot for these L4s"
1300368,GAP,"resolver status L4_ONLY"
1483212,UNCONFIRMED,"no WHO snapshot for these L4s"
1247988,UNCONFIRMED,"no WHO snapshot for these L4s"
1297584,UNCONFIRMED,"no WHO snapshot for these L4s"
1300092,UNCONFIRMED,"no WHO snapshot for these L4s"
198300,UNCONFIRMED,"no WHO snapshot for these L4s"
198468,UNCONFIRMED,"no WHO snapshot for these L4s"
857508,CONFIRMED,"L4 in WHO snapshot"
1099308,GAP,"resolver status L4_ONLY"
1112244,GAP,"resolver status L4_ONLY"
407856,UNCONFIRMED,"no WHO snapshot for these L4s"
452688,UNCONFIRMED,"no WHO snapshot for these L4s"
859164,UNCONFIRMED,"no WHO snapshot for these L4s"
1190184,GAP,"no L5 codes"
856824,UNCONFIRMED,"no WHO snapshot for these L4s"
1092552,UNCONFIRMED,"no WHO snapshot for these L4s"
200316,GAP,"no L5 codes"
377832,UNCONFIRMED,"no WHO snapshot for these L4s"
210864,GAP,"resolver status L4_ONLY"
211836,UNCONFIRMED,"no WHO snapshot for these L4s"
579816,UNCONFIRMED,"no WHO snapshot for these L4s"
349404,GAP,"no L5 codes"
210540,UNCONFIRMED,"no WHO snapshot for these L4s"
1873704,UNCONFIRMED,"no WHO snapshot for these L4s"
1374408,UNCONFIRMED,"no WHO snapshot for these L4s"
1604352,UNCONFIRMED,"no WHO snapshot for these L4s"
1436940,GAP,"no L5 codes"
1293876,GAP,"resolver status L4_ONLY"
1310820,UNCONFIRMED,"no WHO snapshot for these L4s"
1547952,GAP,"resolver status L4_ONLY"
1294128,GAP,"resolver status L4_ONLY"
1597620,GAP,"resolver status L4_ONLY"
885228,UNCONFIRMED,"no WHO snapshot for these L4s"
800220,GAP,"resolver status L4_ONLY"
656808,UNCONFIRMED,"no WHO snapshot for these L4s"
749244,GAP,"resolver status L4_ONLY"
313452,UNCONFIRMED,"no WHO snapshot for these L4s"
373896,UNCONFIRMED,"no WHO snapshot for these L4s"
748800,UNCONFIRMED,"no WHO snapshot for these L4s"
312960,GAP,"resolver status RETIRED_NO_REMAP"
313788,UNCONFIRMED,"no WHO snapshot for these L4s"
847716,UNCONFIRMED,"no WHO snapshot for these L4s"
312456,GAP,"resolver status L4_ONLY"
245640,UNCONFIRMED,"no WHO snapshot for these L4s"
1039716,UNCONFIRMED,"no WHO snapshot for these L4s"
1742220,GAP,"no L5 codes"
2184108,GAP,"resolver status L4_ONLY"
1865292,UNCONFIRMED,"no WHO snapshot for these L4s"
1245036,GAP,"resolver status L4_ONLY"
1547664,UNCONFIRMED,"no WHO snapshot for these L4s"
1372560,GAP,"resolver status L4_ONLY"
1549308,UNCONFIRMED,"no WHO snapshot for these L4s"
1373124,GAP,"resolver status RETIRED_NO_REMAP"
310872,UNCONFIRMED,"no WHO snapshot for these L4s"
748596,UNCONFIRMED,"no WHO snapshot for these L4s"
206520,UNCONFIRMED,"no WHO snapshot for these L4s"
313824,CONFIRMED,"L4 in WHO snapshot"
807012,GAP,"resolver status L4_ONLY"
828576,GAP,"resolver status L4_ONLY"
199680,GAP,"no L5 codes"
996636,UNCONFIRMED,"no WHO snapshot for these L4s"
900384,UNCONFIRMED,"no WHO snapshot for these L4s"
311916,UNCONFIRMED,"no WHO snapshot for these L4s"
2105904,GAP,"no L5 codes"
1046760,UNCONFIRMED,"no WHO snapshot for these L4s"
1012068,UNCONFIRMED,"no WHO snapshot for these L4s"
1099872,GAP,"resolver status L4_ONLY"
1116084,UNCONFIRMED,"no WHO snapshot for these L4s"
206208,GAP,"no L5 codes"
1235472,GAP,"resolver status L4_ONLY"
579996,GAP,"resolver status L4_ONLY"
1658256,CONFIRMED,"L4 in WHO snapshot"
996588,UNCONFIRMED,"no WHO snapshot for these L4s"
214104,UNCONFIRMED,"no WHO snapshot for these L4s"
2167152,GAP,"no L5 codes"
1300272,UNCONFIRMED,"no WHO snapshot for these L4s"
198000,GAP,"resolver status L4_ONLY"
1246896,UNCONFIRMED,"no WHO snapshot for these L4s"
1369968,GAP,"resolver status RETIRED_NO_REMAP"
1919076,GAP,"resolver status L4_ONLY"
1363032,GAP,"resolver status RETIRED_NO_REMAP"
1595784,UNCONFIRMED,"no WHO snapshot for these L4s"
1596108,GAP,"resolver status L4_ONLY"
1599660,GAP,"resolver status L4_ONLY"
1607016,UNCONFIRMED,"no WHO snapshot for these L4s"
993804,UNCONFIRMED,"no WHO snapshot for these L4s"
700788,GAP,"resolver status RETIRED_NO_REMAP"
797892,UNCONFIRMED,"no WHO snapshot for these L4s"
903312,UNCONFIRMED,"no WHO snapshot for these L4s"
310116,UNCONFIRMED,"no WHO snapshot for these L4s"
1086720,GAP,"resolver status L4_ONLY"
205596,UNCONFIRMED,"no WHO snapshot for these L4s"
2099700,UNCONFIRMED,"no WHO snapshot for these L4s"
2121948,UNCONFIRMED,"no WHO snapshot for these L4s"
1091520,GAP,"resolver status RETIRED_NO_REMAP"
1189776,UNCONFIRMED,"no WHO snapshot for these L4s"
860592,UNCONFIRMED,"no WHO snapshot for these L4s"
1012908,UNCONFIRMED,"no WHO snapshot for these L4s"
1086000,UNCONFIRMED,"no WHO snapshot for these L4s"
1661352,GAP,"resolver status L4_ONLY"
995868,GAP,"resolver status L4_ONLY"
211848,UNCONFIRMED,"no WHO snapshot for these L4s"
1091088,GAP,"no L5 codes"
1098240,GAP,"resolver status L4_ONLY"
1190568,GAP,"resolver status L4_ONLY"
198852,GAP,"no L5 codes"
853248,UNCONFIRMED,"no WHO snapshot for these L4s"
1090992,UNCONFIRMED,"no WHO snapshot for these L4s"
1657068,UNCONFIRMED,"no WHO snapshot for these L4s"
1012956,GAP,"resolver status L4_ONLY"
1043400,GAP,"resolver status L4_ONLY"
1665516,UNCONFIRMED,"no WHO snapshot for these L4s"
849756,GAP,"no L5 codes"
542772,UNCONFIRMED,"no WHO snapshot for these L4s"
1000116,UNCONFIRMED,"no WHO snapshot for these L4s"
1049400,UNCONFIRMED,"no WHO snapshot for these L4s"
2118732,GAP,"resolver status L4_ONLY"
1294356,GAP,"resolver status L4_ONLY"
1370232,GAP,"resolver status RETIRED_NO_REMAP"
1797912,UNCONFIRMED,"no WHO snapshot for these L4s"
1250508,CONFIRMED,"L4 in WHO snapshot"
1363776,UNCONFIRMED,"no WHO snapshot for these L4s"
197532,UNCONFIRMED,"no WHO snapshot for these L4s"
1552200,GAP,"resolver status L4_ONLY"
1803432,GAP,"resolver status RETIRED_NO_REMAP"
1247388,GAP,"resolver status L4_ONLY"
1797876,UNCONFIRMED,"no WHO snapshot for these L4s"
1251792,GAP,"resolver status RETIRED_NO_REMAP"
1294380,UNCONFIRMED,"no WHO snapshot for these L4s"
1593756,GAP,"resolver status L4_ONLY"
706548,GAP,"no L5 codes"
798072,UNCONFIRMED,"no WHO snapshot for these L4s"
198480,GAP,"resolver status L4_ONLY"
309240,GAP,"resolver status RETIRED_NO_REMAP"
617316,CONFIRMED,"L4 in WHO snapshot"
702648,GAP,"no L5 codes"
797580,GAP,"resolver status RETIRED_NO_REMAP"
311952,UNCONFIRMED,"no WHO snapshot for these L4s"
314988,UNCONFIRMED,"no WHO snapshot for these L4s"
211176,GAP,"no L5 codes"
213816,UNCONFIRMED,"no WHO snapshot for these L4s"
2173848,UNCONFIRMED,"no WHO snapshot for these L4s"
857076,CONFIRMED,"L4 in WHO snapshot"
1101540,GAP,"resolver status RETIRED_NO_REMAP"
1000980,UNCONFIRMED,"no WHO snapshot for these L4s"
1052688,GAP,"resolver status RETIRED_NO_REMAP"
1736028,GAP,"resolver status RETIRED_NO_REMAP"
562260,UNCONFIRMED,"no WHO snapshot for these L4s"
1041516,GAP,"no L5 codes"
1049376,UNCONFIRMED,"no WHO snapshot for these L4s"
596940,GAP,"resolver status L4_ONLY"
404604,GAP,"resolver status RETIRED_NO_REMAP"
2166204,GAP,"no L5 codes"
860028,UNCONFIRMED,"no WHO snapshot for these L4s"
1440936,UNCONFIRMED,"no WHO snapshot for these L4s"
1608012,UNCONFIRMED,"no WHO snapshot for these L4s"
1367208,CONFIRMED,"L4 in WHO snapshot"
1424016,GAP,"resolver status L4_ONLY"
1809672,GAP,"no L5 codes"
1919088,UNCONFIRMED,"no WHO snapshot for these L4s"
1726296,GAP,"no L5 codes"
1294560,UNCONFIRMED,"no WHO snapshot for these L4s"
1250976,UNCONFIRMED,"no WHO snapshot for these L4s"
646836,GAP,"resolver status RETIRED_NO_REMAP"
968100,UNCONFIRMED,"no WHO snapshot for these L4s"
312372,UNCONFIRMED,"no WHO snapshot for these L4s"
308856,UNCONFIRMED,"no WHO snapshot for these L4s"
834144,UNCONFIRMED,"no WHO snapshot for these L4s"
896868,UNCONFIRMED,"no WHO snapshot for these L4s"
902220,UNCONFIRMED,"no WHO snapshot for these L4s"
966540,UNCONFIRMED,"no WHO snapshot for these L4s"
979452,UNCONFIRMED,"no WHO snapshot for these L4s"
995088,GAP,"resolver status L4_ONLY"
744624,CONFIRMED,"L4 in WHO snapshot"
308616,UNCONFIRMED,"no WHO snapshot for these L4s"
745464,UNCONFIRMED,"no WHO snapshot for these L4s"
308268,UNCONFIRMED,"no WHO snapshot for these L4s"
1085688,UNCONFIRMED,"no WHO snapshot for these L4s"
1661076,UNCONFIRMED,"no WHO snapshot for these L4s"
260688,UNCONFIRMED,"no WHO snapshot for these L4s"
2044644,UNCONFIRMED,"no WHO snapshot for these L4s"
1012008,UNCONFIRMED,"no WHO snapshot for these L4s"
581736,GAP,"resolver status L4_ONLY"
1053852,GAP,"resolver status L4_ONLY"
206076,UNCONFIRMED,"no WHO snapshot for these L4s"
540468,GAP,"resolver status RETIRED_NO_REMAP"
307764,UNCONFIRMED,"no WHO snapshot for these L4s"
1804836,UNCONFIRMED,"no WHO snapshot for these L4s"
1244592,UNCONFIRMED,"no WHO snapshot for these L4s"
1360956,GAP,"resolver status L4_ONLY"
1428948,GAP,"resolver status L4_ONLY"
197784,UNCONFIRMED,"no WHO snapshot for these L4s"
1428828,GAP,"resolver status L4_ONLY"
1549692,GAP,"resolver status L4_ONLY"
1368300,UNCONFIRMED,"no WHO snapshot for these L4s"
725076,UNCONFIRMED,"no WHO snapshot for these L4s"
763116,GAP,"resolver status L4_ONLY"
309696,UNCONFIRMED,"no WHO snapshot for these L4s"
312288,GAP,"resolver status L4_ONLY"
198384,UNCONFIRMED,"no WHO snapshot for these L4s"
2059044,UNCONFIRMED,"no WHO snapshot for these L4s"
647328,UNCONFIRMED,"no WHO snapshot for these L4s"
644148,GAP,"no L5 codes"
1988772,UNCONFIRMED,"no WHO snapshot for these L4s"
2047596,GAP,"no L5 codes"
997512,GAP,"resolver status L4_ONLY"
828600,UNCONFIRMED,"no WHO snapshot for these L4s"
1190208,GAP,"resolver status RETIRED_NO_REMAP"
248328,GAP,"no L5 codes"
314088,UNCONFIRMED,"no WHO snapshot for these L4s"
352080,UNCONFIRMED,"no WHO snapshot for these L4s"
210780,UNCONFIRMED,"no WHO snapshot for these L4s"
1012272,UNCONFIRMED,"no WHO snapshot for these L4s"
283224,GAP,"resolver status L4_ONLY"
1726656,GAP,"resolver status RETIRED_NO_REMAP"
210804,UNCONFIRMED,"no WHO snapshot for these L4s"
603288,GAP,"no L5 codes"
1294368,UNCONFIRMED,"no WHO snapshot for these L4s"
1306932,GAP,"resolver status RETIRED_NO_REMAP"
1442280,UNCONFIRMED,"no WHO snapshot for these L4s"
1546164,UNCONFIRMED,"no WHO snapshot for these L4s"
1292988,UNCONFIRMED,"no WHO snapshot for these L4s"
1430400,UNCONFIRMED,"no WHO snapshot for these L4s"
1314636,GAP,"resolver status L4_ONLY"
639888,CONFIRMED,"L4 in WHO snapshot"
756336,GAP,"no L5 codes"
308712,UNCONFIRMED,"no WHO snapshot for these L4s"
996288,UNCONFIRMED,"no WHO snapshot for these L4s"
2049636,GAP,"resolver status L4_ONLY"
978000,GAP,"resolver status L4_ONLY"
351852,GAP,"resolver status RETIRED_NO_REMAP"
308496,UNCONFIRMED,"no WHO snapshot for these L4s"
1994316,UNCONFIRMED,"no WHO snapshot for these L4s"
205188,UNCONFIRMED,"no WHO snapshot for these L4s"
2053512,UNCONFIRMED,"no WHO snapshot for these L4s"
313416,UNCONFIRMED,"no WHO snapshot for these L4s"
801432,UNCONFIRMED,"no WHO snapshot for these L4s"
848208,UNCONFIRMED,"no WHO snapshot for these L4s"
208416,CONFIRMED,"L4 in WHO snapshot"
210072,UNCONFIRMED,"no WHO snapshot for these L4s"
1117536,GAP,"resolver status L4_ONLY"
1117392,GAP,"resolver status L4_ONLY"
1046820,UNCONFIRMED,"no WHO snapshot for these L4s"
1723740,UNCONFIRMED,"no WHO snapshot for these L4s"
205884,UNCONFIRMED,"no WHO snapshot for these L4s"
856980,CONFIRMED,"L4 in WHO snapshot"
1098468,UNCONFIRMED,"no WHO snapshot for these L4s"
1113396,GAP,"resolver status RETIRED_NO_REMAP"
200268,GAP,"resolver status L4_ONLY"
347052,UNCONFIRMED,"no WHO snapshot for these L4s"
1085736,UNCONFIRMED,"no WHO snapshot for these L4s"
261168,UNCONFIRMED,"no WHO snapshot for these L4s"
209280,UNCONFIRMED,"no WHO snapshot for these L4s"
1094556,GAP,"resolver status RETIRED_NO_REMAP"
616968,UNCONFIRMED,"no WHO snapshot for these L4s"
1798548,GAP,"resolver status RETIRED_NO_REMAP"
1367316,UNCONFIRMED,"no WHO snapshot for these L4s"
1248120,UNCONFIRMED,"no WHO snapshot for these L4s"
1373136,GAP,"resolver status L4_ONLY"
1291956,CONFIRMED,"L4 in WHO snapshot"
1362072,GAP,"resolver status RETIRED_NO_REMAP"
1041732,UNCONFIRMED,"no WHO snapshot for these L4s"
1549356,GAP,"resolver status RETIRED_NO_REMAP"
746340,UNCONFIRMED,"no WHO snapshot for these L4s"
314124,GAP,"resolver status L4_ONLY"
330396,UNCONFIRMED,"no WHO snapshot for these L4s"
630720,GAP,"resolver status RETIRED_NO_REMAP"
309540,GAP,"resolver status L4_ONLY"
1992300,UNCONFIRMED,"no WHO snapshot for these L4s"
755976,UNCONFIRMED,"no WHO snapshot for these L4s"
200172,UNCONFIRMED,"no WHO snapshot for these L4s"
314160,CONFIRMED,"L4 in WHO snapshot"
1090860,GAP,"resolver status RETIRED_NO_REMAP"
810096,UNCONFIRMED,"no WHO snapshot for these L4s"
1010844,UNCONFIRMED,"no WHO snapshot for these L4s"
248280,UNCONFIRMED,"no WHO snapshot for these L4s"
1663812,UNCONFIRMED,"no WHO snapshot for these L4s"
1726416,GAP,"resolver status L4_ONLY"
106248,UNCONFIRMED,"no WHO snapshot for these L4s"
200304,UNCONFIRMED,"no WHO snapshot for these L4s"
853284,GAP,"resolver status RETIRED_NO_REMAP"
209304,GAP,"resolver status L4_ONLY"
248244,UNCONFIRMED,"no WHO snapshot for these L4s"
1011648,GAP,"resolver status L4_ONLY"
859128,UNCONFIRMED,"no WHO snapshot for these L4s"
1053444,UNCONFIRMED,"no WHO snapshot for these L4s"
1089060,GAP,"resolver status L4_ONLY"
1091712,UNCONFIRMED,"no WHO snapshot for these L4s"
1001016,UNCONFIRMED,"no WHO snapshot for these L4s"
249360,GAP,"resolver status RETIRED_NO_REMAP"
1860132,UNCONFIRMED,"no WHO snapshot for these L4s"
1293648,GAP,"resolver status L4_ONLY"
1359024,UNCONFIRMED,"no WHO snapshot for these L4s"
1368312,UNCONFIRMED,"no WHO snapshot for these L4s"
1370760,UNCONFIRMED,"no WHO snapshot for these L4s"
1423416,UNCONFIRMED,"no WHO snapshot for these L4s"
1593156,UNCONFIRMED,"no WHO snapshot for these L4s"
1941204,GAP,"resolver status RETIRED_NO_REMAP"
1250496,CONFIRMED,"L4 in WHO snapshot"
1867596,GAP,"resolver status L4_ONLY"
1293036,UNCONFIRMED,"no WHO snapshot for these L4s"
1297932,UNCONFIRMED,"no WHO snapshot for these L4s"
730872,CONFIRMED,"L4 in WHO snapshot"
801192,UNCONFIRMED,"no WHO snapshot for these L4s"
727452,UNCONFIRMED,"no WHO snapshot for these L4s"
829764,CONFIRMED,"L4 in WHO snapshot"
834156,UNCONFIRMED,"no WHO snapshot for these L4s"
210828,UNCONFIRMED,"no WHO snapshot for these L4s"
213528,UNCONFIRMED,"no WHO snapshot for these L4s"
562776,GAP,"resolver status RETIRED_NO_REMAP"
1014024,UNCONFIRMED,"no WHO snapshot for these L4s"
1661424,UNCONFIRMED,"no WHO snapshot for these L4s"
1039248,GAP,"resolver status RETIRED_NO_REMAP"
834768,UNCONFIRMED,"no WHO snapshot for these L4s"
351228,GAP,"resolver status RETIRED_NO_REMAP"
2117976,UNCONFIRMED,"no WHO snapshot for these L4s"
1993224,GAP,"resolver status L4_ONLY"
1994352,GAP,"resolver status RETIRED_NO_REMAP"
476556,CONFIRMED,"L4 in WHO snapshot"
240000,GAP,"no L5 codes"
1037424,GAP,"resolver status RETIRED_NO_REMAP"
282708,UNCONFIRMED,"no WHO snapshot for these L4s"
1659600,CONFIRMED,"L4 in WHO snapshot"
1741944,GAP,"resolver status L4_ONLY"
1809636,UNCONFIRMED,"no WHO snapshot for these L4s"
1248360,UNCONFIRMED,"no WHO snapshot for these L4s"
1493160,UNCONFIRMED,"no WHO snapshot for these L4s"
1251456,UNCONFIRMED,"no WHO snapshot for these L4s"
707916,UNCONFIRMED,"no WHO snapshot for these L4s"
644256,GAP,"resolver status RETIRED_NO_REMAP"
