rxcui,drug_name,tty,production,new_final,audit_verdict,audit_recommended
1294589,diphenhydramine hydrochloride 20 MG/ML / zinc acetate 1 MG/ML Topical Solution,SCD,A16AX05,D04AA32,,
1371361,ketoconazole 1 MG/ML / lactic acid 1.5 MG/ML / salicylic acid 1.5 MG/ML Otic Solution,SCD,D01AC08|D01AE12|G01AD01|J02AB02|N02BA04,D01AC08,,
1538294,calcium carbonate 4.62 MG/ML / potassium bicarbonate 7.67 MG/ML / sodium bicarbonate 17.9 MG/ML Oral Suspension [Fast Heartburn Relief OTC],SBD,A12AA04|A12BA04,A02AD01,,
1540507,acetaminophen 80 MG / chlorpheniramine maleate 0.5 MG / phenylephrine hydrochloride 1.25 MG Chewable Tablet,SCD,N02BE01|R06AB04,R01BA03,,
1543069,lidocaine 0.05 MG/MG Topical Ointment,SCD,D04AB01|N01BB02|R02AD02,D04AB01,,
1547767,benzocaine 20 MG/ML / cetylpyridinium chloride 1 MG/ML / menthol 5 MG/ML Mucous Membrane Topical Solution [Orasep Reformulated Dec 2013],SBD,C05AD03|D04AB04|R02AD01,R02AA06,,
1235262,mineral oil 0.2 MG/MG / petrolatum 0.8 MG/MG Ophthalmic Ointment [Soothe Night Time],SBD,A06AA01,S01XA20,,
1243415,calcium carbonate 1250 MG / cholecalciferol 200 UNT Oral Tablet [Os-Cal 500 with D],SBD,A11CC05,A11CC05|A12AA04,,
1292923,aluminum sulfate 7.44 MG/ML / calcium acetate 5.24 MG/ML Topical Solution,SCD,V03AE07,D08AB,BOTH_WRONG,D08AB
1293491,chlorpheniramine maleate 4 MG / phenylephrine hydrochloride 20 MG / phenyltoloxamine citrate 40 MG Extended Release Oral Tablet,SCD,R06AB04,R01BA03|R06AB04,,
1356815,brompheniramine maleate 4 MG / phenylephrine hydrochloride 10 MG Oral Tablet,SCD,R06AB01,R01BA03|R06AB01,,
1358640,phenylephrine hydrochloride 1 MG/ML Oral Solution [Despec-SF],SBD,R01AA04|S01FB01|S01XA20,R01BA03,,
1359345,bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG / pramoxine hydrochloride 0.01 MG/MG Topical Ointment [Lanabiotic],SBD,A07AA01|D06AX04|S01AA03,D06AX05,,
1374389,dexamethasone acetate 16 MG/ML Injectable Suspension,SCD,H02AB02|S01BA01,H02AB02,,
1421893,lidocaine 40 MG/ML Topical Cream,SCD,D04AB01|N01BB02|R02AD02,D04AB01,,
1435159,undecylenic acid 50 MG/ML / zinc undecylenate 180 MG/ML Topical Cream [Derman],SBD,D01AE20,D01AE04,,
1488047,tretinoin 0.0008 MG/MG Topical Gel [Retin-A],SBD,D10AD01|L01XX14,D10AD01,,
1494825,sulfacetamide sodium 98 MG/ML / sulfur 48 MG/ML Medicated Liquid Soap [Plexion],SBD,D10AB02,D10AF06,,
1549401,lidocaine hydrochloride 0.04 MG/MG / menthol 0.01 MG/MG Medicated Patch [Puroxcin],SBD,D04AB01|N01BB02|R02AD02,D04AB01,,
1596005,cholecalciferol 0.01 MG/ML / sodium fluoride 0.55 MG/ML Oral Solution,SCD,A11CC05,A01AA01,,
1361021,1.7 ML phentolamine mesylate 0.235 MG/ML Cartridge [OraVerse],SBD,C04AB01|V03AB36,C04AB01,,
1855744,50 ML olaratumab 10 MG/ML Injection [Lartruvo],SBD,L01XC27,L01FX10,,
1876498,benzalkonium chloride 2.6 MG/ML Topical Solution,SCD,D08AJ01|D08AJ08|R02AA16,D08AJ01,IMPROVED,D08AJ01
1244523,brompheniramine maleate 1.2 MG/ML / phenylephrine hydrochloride 2 MG/ML Oral Suspension,SCD,R06AB01,R01BA03|R06AB01,,
1294381,diphenhydramine hydrochloride 20 MG/ML / phenol 10 MG/ML Topical Cream,SCD,D04AA32|D08AE03|R06AA02,D04AA32|D08AE03,,
1494827,sulfacetamide sodium 98 MG/ML / sulfur 48 MG/ML Medicated Pad [Plexion],SBD,D10AB02,D10AF06,,
1604336,metronidazole 0.013 MG/MG Vaginal Gel [Nuvessa],SBD,A01AB17|D06BX01|P01AB01,G01AF01,,
1593881,sodium chloride 6.5 MG/ML Nasal Spray [Little Noses],SBD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,,
1248011,"docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet [Purgasol]",SBD,A06AB06,A06AA02|A06AB06,,
1599495,camphor 0.01 MG/MG / capsaicin 0.0004 MG/MG / menthol 0.04 MG/MG Medicated Patch,SCD,N01BX04,M02AB01,,
1487371,salicylic acid 285 MG/ML Topical Solution,SCD,D01AE12|N02BA04,D01AE12,,
1550964,{28 (estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet) } Pack [Lopreeza 0.5/0.1 28 Day],BPCK,G03CA03,G03FA01,,
1603845,avibactam 500 MG / ceftazidime 2000 MG Injection [Avycaz],SBD,J01DD02,J01DD52,,
1250471,Salicylic Acid 30 MG/ML Topical Lotion [Dermarest Psoriasis],SBD,D01AE12|N02BA04,D01AE12,IMPROVED,D01AE12
631715,hydrocortisone 10 MG/ML / neomycin 5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [AK-Spore HC],SBD,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02,S02AA11|S02BA01,,
629417,benzocaine 180 MG/ML / tetracaine 20 MG/ML Oral Spray,SCD,C05AD03|D04AB04|R02AD01,R02AD01,,
