rxcui,judgment,should_be,reason_category,note
1293731,WRONG,C05AA01|C05AD08,route-pollution,Pramoxine's WHO code is likely C05AD08 not C05AD07; otherwise fine for a rectal cream
1545297,CORRECT,,,Lidocaine topical spray correctly narrowed to D04AB01
9877,UNSURE,,other,B01AB01/C05BA03 plausible for heparin but S01XA14 unverifiable offline
198158,CORRECT,,,Procaine injectable correctly narrowed to N01BA02
198468,WRONG,N02BA01,ingredient-level-overbroad,A01AD05 (dental) and B01AC06 (antiplatelet) don't fit a 325mg rectal analgesic suppository
1547773,CORRECT,,,Tetracaine ophthalmic correctly narrowed to S01HA03
828602,CORRECT,,,Aspirin/caffeine/propoxyphene triple correctly ingredient-split (no dedicated WHO combo code)
248108,CORRECT,,,Acyclovir injectable correctly narrowed to J05AB01
616763,CORRECT,,,Ethanol topical foam correctly narrowed to D08AX08
1297584,CORRECT,,,Triple cough/cold tannate combo correctly ingredient-split
312178,CORRECT,,,Oxyphenbutazone oral correctly narrowed to M01AA03
1291092,UNSURE,,other,Ambiguous whether hydrocortisone acetate suppository (Proctocort) is A07EA02 (proctitis) or C05AA01 (hemorrhoid) without WHO site access
1013731,CORRECT,,,Phenylephrine/pyrilamine oral combo correctly resolved (R01BA53 combo code + R06AC01)
1537194,CORRECT,,,Benzethonium/diphenhydramine/hydrocortisone topical spray plausibly correct
1250282,UNSURE,,other,Exact A02AD subcode for aluminum hydroxide + magnesium carbonate combo unverifiable offline
2168528,WRONG,D04AB01 + phenylephrine's topical code,other,Phenylephrine's ATC code dropped entirely from the lidocaine/phenylephrine topical spray combo
313801,CORRECT,,,Ampicillin/probenecid correctly ingredient-split (J01CA01 + M04AB01)
310933,CORRECT,,,Hypromellose ophthalmic correctly narrowed to S01KA02
616880,CORRECT,,,Carbetapentane/chlorpheniramine/phenylephrine correctly ingredient-split
1249710,WRONG,H02AB02,route-pollution,Injectable solution should not carry dental (A01AC02), rectal (C05AA09), or ophthalmic/otic (S03BA01) codes
1094385,CORRECT,,,Oral diphenhydramine correctly narrowed to R06AA02
226552,WRONG,A04AD01,wrong-strength-indication,Transdermal scopolamine (motion sickness) is A04AD01 (antiemetic); N05CM05 doesn't fit this product's indication
1372890,WRONG,D07AA02|D08AE03,route-pollution,8 codes for a 2-ingredient topical gel; rectal (C05AA01) and antimicrobial-combination (D07AB02/D07AB11/D07XA01) codes don't apply
313927,CORRECT,,,Chlorpheniramine/codeine/phenylephrine oral solution correctly ingredient-split
2001364,CORRECT,,,Benzhydrocodone/acetaminophen correctly mapped to hydrocodone+paracetamol combo code N02AJ22
1300719,WRONG,D02AF01,l4-vs-l5-granularity,WHO has a Level 5 for salicylic acid (D02AF01); only the L4 D02AF was given
1552450,CORRECT,,,Capsaicin patch correctly narrowed to M02AB01 (menthol has no dedicated WHO code)
1425118,CORRECT,,,Trametinib correctly updated to current WHO code L01EE01 (was stale L01XE25)
1190894,CORRECT,,,Atropine/phenobarbital antispasmodic combo plausibly correct as A03CB03
603929,CORRECT,,,Benzocaine rectal ointment correctly narrowed to C05AD03
310868,CORRECT,,,Plain hydrocortisone rectal cream correctly narrowed to C05AA01
1100258,WRONG,"drop R05CA02; keep A06AA02|A11CC05|A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|A12AA13|B03BB01|V03AB21",other,R05CA02 (expectorant combination) does not correspond to any ingredient in this multivitamin/mineral tablet
1012224,CORRECT,,,Prednisolone/sulfacetamide ophthalmic combo correctly mapped to dedicated code S01CA02
1235389,WRONG,add codes for niacin/riboflavin/vitamin E,other,Only 8 codes given for 11 ingredients; niacin, riboflavin and vitamin E appear to be missing coverage
