rxcui,judgment,should_be,reason_category,note
309682,CORRECT,,,"TobraDex-type dexamethasone+tobramycin ophthalmic combo; S01CA01 (dexamethasone and antiinfectives) is the correct WHO combo code, fixes production's split H02AB02|S01BA01"
1294196,CORRECT,,,"Diphenhydramine+phenylephrine oral cold syrup; R01BA53 (phenylephrine, combinations) is the correct WHO combo-suffix code"
1043199,CORRECT,,,"Salicylic acid alone; D01AE12 is salicylic acid's real WHO code, drops unrelated N02BA04 pollution"
1658313,CORRECT,,,Capsaicin/menthol patch; M02AB01 (capsaicin) is the correct topical analgesic class
1091387,CORRECT,,,"Histamine dihydrochloride topical cream; M02AX10 (histamine, topical rubefacient) fixes production's diagnostic-use V04CG03 pollution"
856955,CORRECT,,,"Hycomine Compound hydrocodone-based cough/cold combo; R05DA20 (hydrocodone, combinations) is a reasonable consolidated code for this shape of product"
992739,CORRECT,,,"Homatropine methylbromide oral (Homapin, GI antispasmodic); A03BB06 correctly distinguishes this quaternary salt from ophthalmic homatropine hydrobromide (S01FA05)"
1011833,CORRECT,,,"Lidocaine mucosal/laryngotracheal anesthesia spray; N01BB02 (lidocaine, local anesthetic general) is a defensible single code for this use"
1535618,WRONG,D04AB01,wrong-route,"Allantoin+lidocaine topical ointment; N01BB02/N01BB52 are systemic/general local-anesthetic codes, topical form should map to D04AB01 (lidocaine, topical)"
664704,CORRECT,,,"Glucose/KCl/NaCl IV fluid; B05BB02 (electrolytes with carbohydrates) is the correct consolidated code, fixes multi-code ingredient pollution"
832907,UNSURE,A12AX (uncertain exact suffix),missing-combo-L5,"Calcium carbonate+cholecalciferol combo; WHO may have a dedicated A12AX-class combo code, cannot confirm offline whether ingredient split (A11CC05|A12AA04) is the correct fallback"
1191264,WRONG,"D11AX (uncertain exact suffix, or no dedicated code)",other,"Tri-Luma treats melasma (steroid+hydroquinone+tretinoin); D10AD51 is an acne tretinoin-combination code, wrong indication class"
1006698,CORRECT,,,Sulfacetamide sodium ophthalmic solution; S01AB04 fixes production's wrong dermatological-acne code D10AB02
1190450,WRONG,R01BA52,combo-split-to-ingredients,"Diphenhydramine+pseudoephedrine ER tablet (Tekral); should use the R01BA52 pseudoephedrine-combinations suffix, matching the same tool's own R01BA53 use for the analogous phenylephrine+diphenhydramine combo (rxcui 1294196), instead of splitting into R01BA02|R06AA02"
1551286,UNSURE,,missing-combo-L5,Chlophedianol+dexbrompheniramine cough syrup; uncertain offline whether WHO has a dedicated combo code beyond the plain antitussive code R05DB10
245224,CORRECT,,,Phenylephrine+zinc oxide rectal suppository; single rectal-route code C05AX06 fixes multi-route pollution (nasal/ophthalmic codes) in production
1539190,CORRECT,,,"Mimvey Lo estradiol/norethindrone acetate HRT pack; G03FA01 (progestogens and estrogens, fixed combination) is the correct combo code, fixes production's estrogen-only G03CA03"
1789947,CORRECT,,,Papaverine generic injection; A03AD01 (musculotropic antispasmodic) is the more defensible code for an unbranded injection vs. the erectile-dysfunction code G04BE02
807839,UNSURE,R05CA09 (alone),missing-combo-L5,"Phenylephrine+potassium guaiacolsulfonate oral solution; unclear offline whether the expectorant combo code R05CA09 already subsumes the decongestant partner, making the added R01BA03 split unnecessary"
4511,CORRECT,,,Folic acid ingredient-level; B03BB01 (antianemic) plus V04CX02 (diagnostic use) are both real dual-use WHO codes for folic acid
896976,CORRECT,,,Hydrochlorothiazide+labetalol combo tablet; C07BG01 (labetalol and thiazides) is a real established beta-blocker+thiazide combo class
1010751,CORRECT,,,"Epinephrine+lidocaine injectable (local anesthesia with vasoconstrictor); N01BB02 (lidocaine) is the standard single code for this combination, fixes epinephrine multi-route pollution"
664961,CORRECT,,,"Ketoconazole topical gel; D01AC08 correct, drops wrong systemic-antifungal code J02AB02"
313884,UNSURE,depends on product indication (A02AC01 antacid vs A12AA04 supplement),wrong-strength-indication,"Calcium carbonate 420mg chewable tablet with no brand; cannot determine from the generic name alone whether this is an antacid or a mineral-supplement product, so cannot confirm the antacid-only code is right"
308718,CORRECT,,,"Betamethasone injectable solution; H02AB01 (systemic glucocorticoid) is correct, fixes topical/ophthalmic/otic route pollution"
238015,CORRECT,,,"Ethinyl estradiol+norethindrone monophasic OC tablet; G03AA05 is the correct combo code, fixes production's split estrogen/progestin codes"
762007,CORRECT,,,"Nortrel 7/7/7 triphasic OC pack; G03AA05 (ethinylestradiol+norethisterone) applies regardless of phasic regimen, correctly drops production's wrong G03FA01 (HRT class) addition"
1047873,CORRECT,,,"Atropine/hyoscyamine/methenamine/methylene blue/phenyl salicylate legacy urinary combo (Urised-type); no dedicated combo L5 exists, and adding atropine's own code A03BA01 (present in the actual formulation) is a more complete ingredient-level breakdown than production's 3-code version"
762967,WRONG,"D08AE-series or M02AX (topical antiseptic/counterirritant), exact suffix uncertain",other,"Camphor/menthol/phenol/salicylic acid topical rub (Campho-Phenique-type); C05BB05 is a sclerosing-agent-for-injection code (varicose vein treatment), implausible for a topical OTC rub"
1367219,WRONG,R01BA53,combo-split-to-ingredients,"Phenylephrine tannate+brompheniramine tannate chewable; should use R01BA53 combo suffix per the same dataset's own precedent (rxcui 1294196), not split R01BA03|R06AB01"
1426565,CORRECT,,,Benzalkonium chloride antiseptic pad; single D08AJ01 code fixes multi-route pollution in production
