rxcui,judgment,should_be,reason_category,note
308985,CORRECT,,,Carbenicillin oral = J01CA03; correctly drops unrelated J01CA05 (ticarcillin)
1020364,CORRECT,,,Ethanol topical = D08AX08; correctly drops IV-antidote codes V03AB16/V03AZ01 (wrong route)
1360330,CORRECT,,,Low-dose phenylephrine prefilled syringe (IV vasopressor use) = C01CA06; nasal/ophthalmic codes correctly dropped
351277,CORRECT,,,Phenylephrine oral (R01BA03) + pyrilamine/mepyramine (R06AC01); no dedicated WHO combo L5 exists so ingredient split is reasonable
211394,WRONG,N02BA03,other,N07AX02 = choline alfoscerate, an unrelated drug wrongly matched via the "choline" substring in "choline salicylate"
2045196,CORRECT,,,Drospirenone+EE combined pill = G03AA12 (dedicated WHO combo L5); correctly drops mono G03AC10
2197110,CORRECT,,,NaCl electrolyte infusion = B05BB01; correctly drops oral/irrigation/additive/ophthalmic codes
877014,CORRECT,,,Salicylic acid topical foam = D01AE12; correctly drops oral-systemic N02BA04
1307225,CORRECT,,,Adds missing phenylephrine oral code (R01BA03) alongside chlorpheniramine (R06AB04)
237512,UNSURE,,other,Cannot confirm offline whether B05XA18 is genuinely zinc sulfate's WHO parenteral-additive code
1000935,CORRECT,,,Pilocarpine ophthalmic = S01EB01; correctly drops oral xerostomia code N07AX01
1422080,CORRECT,,,Lidocaine topical cream = D04AB01; correctly drops injectable/oropharyngeal codes
50121,CORRECT,,,"PIN ingredient-level: all 3 known fluticasone propionate L5s (D07AC17/R01AD08/R03BA05) returned unfiltered, per methodology"
1918242,CORRECT,,,Niraparib reclassified under newer WHO PARP-inhibitor group L01XK02 (from legacy L01XX54)
1294322,CORRECT,,,Diphenhydramine (R06AA02) + phenylephrine oral (R01BA03); wrong-route codes correctly dropped
310818,CORRECT,,,HCTZ+triamterene = dedicated WHO combo C03EA01 (confirmed via local snapshot), correctly replacing split mono codes
1488333,CORRECT,,,Lidocaine topical spray active ingredient correctly coded D04AB01, replacing spurious benzyl-alcohol code
1011981,CORRECT,,,Prednisolone+sulfacetamide ophthalmic combo = S01CA02 (steroid+antiinfective ophthalmic combo class)
859225,CORRECT,,,Adds missing phenylephrine oral code (R01BA03) to existing hydrocodone/chlorpheniramine codes
1087663,UNSURE,,no-who-code-exists,Unclear whether WHO assigns any code to oral L-lysine supplements; V06DD may be a fabricated/incorrect L4
1000555,UNSURE,,salt-mismatch,"D10AF06 is typically dapsone (Aczone), not sulfur; sulfacetamide's only well-established WHO code is ophthalmic S01AB04"
882504,CORRECT,,,Diphenhydramine oral = R06AA02; correctly drops topical D04AA32
1012272,CORRECT,,,Etidocaine+epinephrine = N01BB57 (standard +50 vasoconstrictor-combo offset from N01BB07)
1235490,CORRECT,,,Benzocaine oropharyngeal lozenge = R02AD01; correctly drops rectal/dermatologic codes
