rxcui,judgment,should_be,reason_category,note
245248,CORRECT,,,"Griseofulvin systemic antifungal = D01BA01; correct."
993837,CORRECT,,,"Matches WHO N02AJ06 codeine+paracetamol combo (local N02AJ.json snapshot confirms)."
1251557,WRONG,A02AA02|A02AC01|A12AA04|A12CC10,ingredient-level-overbroad,"Includes A06AD02 (laxative use) which doesn't fit an antacid/mineral-supplement chewable tablet; over-broad union of every indication for each ingredient."
1235267,CORRECT,,,"G03AA07 (ethinylestradiol+levonorgestrel) is the right combo code for this extended-cycle OC pack."
1435897,CORRECT,,,"D08AC02 antiseptic; oral/throat codes correctly dropped for a topical spray."
1599660,CORRECT,,,"No dedicated WHO L5 for magnesium+pyridoxine combo; A11JB L4 fallback is reasonable."
260495,UNSURE,,other,"Cannot confidently verify WHO classification of a multi-trace-element parenteral additive (V03AB20 vs A12CX/B05X-type codes) from memory or local snapshots offline."
1011875,UNSURE,,other,"Exact WHO D10A subcode for a sulfacetamide+sulfur acne soap combo is not confidently verifiable offline."
700387,CORRECT,,,"WHO reclassified eculizumab to L04AJ01 (complement inhibitors), superseding the older L04AA25."
205833,CORRECT,,,"J01CA01 correct for ampicillin; J01CA18 pollution correctly dropped."
1299698,CORRECT,,,"R03AB02 fits inhalant non-selective adrenoreceptor agonist (isoprenaline); cardiac/systemic codes correctly dropped for an inhalation solution."
1294572,WRONG,R01BA02|R06AA02,other,"Identical ingredient combo to rxcui 1294562, which correctly resolves to R01BA02|R06AA02; R01BA52 here looks fabricated and is internally inconsistent with the sibling product."
1294562,CORRECT,,,"No dedicated combo L5 for diphenhydramine+pseudoephedrine; ingredient split R01BA02+R06AA02 is the right fallback."
1012955,CORRECT,,,"D04AB01 topical anesthetic; injectable/throat lidocaine codes correctly dropped for a topical solution."
1440065,WRONG,M02AX10,no-who-code-exists,"M02AC does not appear to be a real WHO subclass; topical camphor/capsaicin/methyl-salicylate rubs fall under M02AX (other topical products for joint/muscular pain)."
1098199,CORRECT,,,"D08AJ01 correct for benzalkonium chloride topical gel; unrelated salt/throat codes dropped."
996202,CORRECT,,,"S01GA02 (decongestant) + S01XA20 (other ophthalmologicals/lubricants) fits this artificial-tear+decongestant eye drop; B05AA05 (blood substitute) was wrong-indication pollution from the dextran ingredient."
857764,CORRECT,,,"Three-ingredient split R01BA03+R05DA03+R06AB04 correctly adds the phenylephrine code that production omitted."
1302627,CORRECT,,,"Same as other benzalkonium chloride topical products; D08AJ01 correct."
892815,CORRECT,,,"R02AD01 (throat/oral local anesthetic) fits an oral gel; anorectal/topical-skin benzocaine codes correctly dropped."
542512,CORRECT,,,"S01ED01 glaucoma beta-blocker; systemic C07AA06 correctly dropped for an ophthalmic solution."
313633,CORRECT,,,"B03AE01 (iron+folic acid+vitamin combo) is a better single code than the scattered ingredient-split production value."
606947,WRONG,"N02BE01 (plus isometheptene/dichloralphenazone codes if WHO defines them)",other,"New_final drops isometheptene and dichloralphenazone entirely, which production had matched (A03AX10/N05CC04); unclear these ingredient codes should have been discarded."
1944524,CORRECT,,,"D08AX08 antiseptic ethanol; antidote-use (methanol poisoning) codes correctly dropped for a topical spray."
313812,CORRECT,,,"J05AB01 systemic antiviral; topical/ophthalmic acyclovir codes correctly dropped for an injectable."
1090641,CORRECT,,,"D07AB09 topical corticosteroid; dental/systemic/nasal triamcinolone codes correctly dropped for a topical ointment."
2168270,CORRECT,,,"N01AH01 (anesthesia, parenteral) is correct; N02AB03's WHO DDD is defined for oral/transdermal fentanyl only, so it's rightly excluded for an injection."
260285,WRONG,"S01AA11|S01BA04 plus S01CA04 (prednisolone+antiinfective combo)",missing-combo-L5,"WHO has a dedicated corticosteroid+antiinfective ophthalmic combo family (S01CA, indexed by the steroid) for products like Pred-G; an ingredient-only split likely under-codes it. Moderate confidence."
310134,CORRECT,,,"S01EA01 sympathomimetic glaucoma agent; cardiac C01CA24 correctly dropped for an ophthalmic solution."
1000558,UNSURE,,other,"S01CB05 combo code is plausible but not confidently verifiable offline; cannot confirm this specific subgroup/number covers fluorometholone+sulfacetamide."
1363759,CORRECT,,,"A01AA01 fluoride caries-prophylaxis code fits the sodium fluoride mouthwash; unrelated cough/expectorant code correctly dropped."
317282,CORRECT,,,"Orphenadrine carries a genuine dual WHO classification (M03BC01 muscle relaxant + N04AB02 antiparkinsonian anticholinergic); both legitimately apply to the substance."
1359293,WRONG,G03CA01|G03DC02,salt-mismatch,"L02AA03 (oncology estrogen) is unrelated route/indication pollution; G03AC01 duplicates the norethisterone base salt when the product specifically contains the acetate ester already covered by G03DC02."
199159,CORRECT,,,"L01XF01 is the current WHO retinoid-oncology code for oral ATRA, superseding the older L01XX14."
312185,CORRECT,,,"D06AA03 (topical oxytetracycline) fits; systemic J01AA06 correctly dropped for a topical powder."
1356302,CORRECT,,,"A02AC01 antacid classification fits Tums' marketed antacid use better than the plain calcium-supplement code."
1087047,CORRECT,,,"R01AA04 nasal decongestant; ophthalmic phenylephrine codes correctly dropped for a nasal spray."
707381,WRONG,R01AX10,l4-vs-l5-granularity,"L4-only R01AX is given even though the specific WHO L5 for sodium chloride nasal preparations (R01AX10) is knowable and should have been reached."
1037240,WRONG,N02BA05|N02BE01,other,"Salicylamide's WHO code N02BA05 (present in production) was dropped without apparent justification."
1038903,CORRECT,,,"D08AG02 antiseptic; vaginal/throat/dressing povidone-iodine codes correctly dropped for a topical foam."
1436931,CORRECT,,,"D08AX01 antiseptic is correct; D11AX25 is a plausible secondary dermatologic-use code for hydrogen peroxide."
1191684,CORRECT,,,"Same reasoning as other ethanol antiseptic products."
1359362,CORRECT,,,"D06AX04 topical neomycin correct; oral/ophthalmic pollution correctly dropped. Polymyxin B and pramoxine likely lack distinct WHO codes."
830661,CORRECT,,,"B05BA01 (parenteral-nutrition amino acids) correct; unrelated antidepressant/antidote pollution correctly dropped."
1245957,WRONG,R01AX10,wrong-route,"None of A12CA01/B05CB01/B05XA03 (oral mineral supplement/irrigation/IV electrolyte) is the nasal-route code; inconsistent with rxcui 707381 (same active ingredient and route), which at least reached the R01AX family."
597823,CORRECT,,,"J01GB01 systemic tobramycin; ophthalmic S01AA12 correctly dropped for an injectable."
310322,CORRECT,,,"B03AA07 ferrous sulfate; different-salt B03AA01 correctly dropped."
2049016,CORRECT,,,"D04AB01 topical anesthetic; injectable/throat lidocaine codes correctly dropped for a medicated pad."
