rxcui,decision,final_codes,confidence,evidence
836358,ADOPT_RESOLVER,R03BB01,HIGH,"WHO: R03BB01=ipratropium bromide via inhalation solution/aerosol/powder; R01AX03 is the nasal-spray-only code. Product is 'Inhalation Solution', not nasal. ATCPROD for this rxcui returns R03BB directly."
1049647,KEEP_OURS,N02AJ17,HIGH,WHO N02AJ17=oxycodone and paracetamol (local snapshot N02AJ.json); resolver is per-ingredient pollution split.
197411,ADOPT_RESOLVER,N04BC01,MED,"Bromocriptine carries two legitimate WHO codes (G02CB01 prolactine inhibitor, N04BC01 dopamine agonist/anti-Parkinson) - both confirmed on atcddd.fhi.no. ATCPROD for this specific RxCUI returns N04BC (Dopamine agonists) directly, which is product-specific NLM evidence; no indication cue favors G02CB."
750126,KEEP_OURS,S01XA03,HIGH,"WHO S01XA03=sodium chloride, hypertonic (ophthalmic); resolver lists systemic/oral NaCl codes, wrong route."
761986,KEEP_OURS,G03FA01,HIGH,"WHO G03FA01=norethisterone and estrogen, covers mestranol+norethindrone (generic estrogen partner); resolver is ingredient split."
896226,KEEP_OURS,R03AK06,HIGH,"WHO R03AK06=salmeterol and fluticasone; resolver ingredient-splits across wrong routes (D07AC17 dermatologic, R01AD08 nasal)."
749571,KEEP_OURS,G03AA07,HIGH,WHO G03AA07=levonorgestrel and ethinylestradiol; resolver is ingredient split (incl. wrong-indication L02AA03/G03AD01).
1049703,KEEP_OURS,N02AJ17,HIGH,WHO N02AJ17=oxycodone and paracetamol (local snapshot N02AJ.json); resolver is per-ingredient pollution split.
1049257,KEEP_OURS,N02AJ17,HIGH,WHO N02AJ17=oxycodone and paracetamol (local snapshot N02AJ.json); resolver is per-ingredient pollution split.
1863606,OTHER,B05BB02,MED,"IV dextrose+electrolyte maintenance fluid (glucose + NaCl +/- KCl). WHO B05BB02='electrolytes with carbohydrates' (confirmed on atcddd.fhi.no: 'electrolyte solutions for fluid and electrolyte replacement, incl. combinations with e.g. carbohydrates') is the single generic code for this product type. Both our_value and resolver_value are ingredient-pollution splits across unrelated single-electrolyte/diagnostic/IV-additive codes; RxCUI itself is retired/not found in live RxNav."
1243237,KEEP_OURS,D08AJ01|D09AA11,HIGH,"Benzalkonium chloride medicated shampoo (topical, scalp). Resolver adds R02AA16, which is the throat-lozenge/oropharyngeal route for benzalkonium chloride - wrong route for a shampoo."
