rxcui,decision,final_codes,confidence,evidence
253182,ADOPT_RESOLVER,A10AB01|A10AC01|A10AD01|A10AE01|A10AF01,HIGH,RxNav property API returns all 5 codes incl A10AF01; WHO confirms A10AF01="insulin (human)" (inhaled, Afrezza) - ingredient-level union applies
253337,ADOPT_RESOLVER,L01FG01|S01LA08,HIGH,WHO confirms both L01FG01 and S01LA08 are legitimately "bevacizumab" (oncology + ophthalmic anti-VEGF); bare IN gets ingredient-level union of both
2535748,KEEP_OURS,C10BA06,HIGH,Local snapshot data/who-atc-snapshots/C10BA.json: C10BA06="rosuvastatin and ezetimibe"; resolver's C10AA07/C10AX09 are per-ingredient pollution
2599041,ADOPT_RESOLVER,L01FG01|S01LA08,HIGH,PIN (bevacizumab-maly) - same WHO dual-code substance as base IN; ingredient-level union applies
2599043,ADOPT_RESOLVER,L01FG01,HIGH,ATCPROD (product-level, route-pre-filtered) shows only L01FG for this 25mg/mL IV injection SCD; S01LA08 (ophthalmic) reflects off-label compounding, not the approved IV oncology product
2599045,ADOPT_RESOLVER,L01FG01,HIGH,ATCPROD shows only L01FG class for Alymsys (bevacizumab-maly brand, IV oncology biosimilar)
2599049,ADOPT_RESOLVER,L01FG01,HIGH,ATCPROD shows only L01FG for this SBD (Alymsys IV injection)
2599051,ADOPT_RESOLVER,L01FG01,HIGH,ATCPROD shows only L01FG for this 25mg/mL IV injection SCD
2599052,ADOPT_RESOLVER,L01FG01,HIGH,ATCPROD shows only L01FG for this SBD (Alymsys IV injection)
2611248,KEEP_OURS,C10BA05,HIGH,Local snapshot C10BA.json: C10BA05="atorvastatin and ezetimibe" (Lypqozet); resolver's C10AX09/C10AA05 are per-ingredient pollution missing the combo code
2611250,KEEP_OURS,C10BA05,HIGH,Same as 2611248 - Lypqozet strength variant, WHO combo code confirmed via snapshot
2611252,KEEP_OURS,C10BA05,HIGH,Same as 2611248 - Lypqozet strength variant, WHO combo code confirmed via snapshot
