rxcui,final_codes,fix_action,confidence,evidence
310639,R01BA03|R05CA03,KEEP_CURRENT,HIGH,"R01BA is oral-systemic decongestant class (phenylephrine), legit for oral tablet; no combo L5 w/ guaifenesin exists"
311454,A06AD16|N03AA02,OTHER,MED,"mannitol/phenobarbital Oral Tablet; A06AD16=mannitol oral-laxative context, N03AA02=phenobarbital anticonvulsant; drop IV/irrigating/diagnostic mannitol-context codes not applicable to an oral tablet"
312107,A03DB|A07DA02,OTHER,LOW,"belladonna alkaloids/opium Rectal Suppository (B&O Supprettes); A03DB=belladonna alkaloids bare L4, A07DA02=opium (confirmed real code, best available context though technically antidiarrheal-indexed)"
313250,J01AA07,OTHER,HIGH,tetracycline HCl Injectable Solution; systemic route -> J01AA07 (systemic antibiotic) alone; drop dental(A01AB13)/dual ophth-otic(S03AA02)
313963,S01EA01,KEEP_CURRENT,HIGH,epinephrine Ophthalmic Solution; S01EA01 already correct; production wrongly adds cardiac C01CA24
346805,V03AB16|B05BA03,OTHER,LOW,"ethanol/glucose Injectable Solution (IV antidote admixture); V03AB16=ethanol antidote context, B05BA03=glucose IV carbohydrate-solution context"
352350,A01AA01,OTHER,HIGH,"sodium fluoride dental caries prophylactic (mouthwash/toothpaste/chewable/foam/gel); A01AA01 = dental fluoride context; drop A12CD01 (systemic mineral-supplement context, wrong indication for a topical dental fluoride product)"
827180,A02BA02,OTHER,HIGH,"ranitidine Oral Solution [Zantac]; A02BA02 = ranitidine (plain) correct; drop A02BA07 (ranitidine bismuth citrate - a different salt/product entirely, not present in this formulation)"
847042,C09DA08,KEEP_CURRENT,HIGH,Benicar HCT; C09DA08 dedicated combo code already correct
211508,C01CA26,OTHER,MED,Injectable Solution; C01CA26 = ephedrine cardiac/vasopressor context correct for IV use; R03CA02 (oral/inhaled antiasthmatic) wrong indication for injectable
2118730,N02AJ22,KEEP_CURRENT,HIGH,hydrocodone/benzhydrocodone + paracetamol combo (Apadaz/Lortab); N02AJ22 dedicated combo code already correct; atcprod/production mono paracetamol code correctly rejected
2181311,R01BA53,KEEP_CURRENT,HIGH,"R01BA53 = phenylephrine, combinations (verified real on WHO ATC index atcddd.fhi.no); dedicated combo code for phenylephrine+antihistamine tannate combo; atcprod R01BA03 is mono, rejected per combo-preference rule"
616765,V03AB16|V03AZ01,KEEP_CURRENT,HIGH,ethanol Injectable Solution (antidote/ablation use); already correct; production wrongly adds topical-antiseptic context D08AX08
857762,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,oral decongestant/antihistamine/antitussive combo; R01BA0x is legit oral-systemic decongestant class (not nasal-topical); no dedicated combo L5 exists; current_final already the correct minimal per-ingredient set
857836,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,oral decongestant/antihistamine/antitussive combo; R01BA0x is legit oral-systemic decongestant class (not nasal-topical); no dedicated combo L5 exists; current_final already the correct minimal per-ingredient set
860272,R01BA01|R01BA03|R05CA03|R05DA03|R06AB05,KEEP_CURRENT,HIGH,oral decongestant/antihistamine/antitussive combo; R01BA0x is legit oral-systemic decongestant class (not nasal-topical); no dedicated combo L5 exists; current_final already the correct minimal per-ingredient set
