rxcui,final_codes,fix_action,confidence,evidence
1657916,A03BA03|G04BX12|J01XX05,OTHER,HIGH,Methylene blue has no WHO code for urinary-antiseptic use (only antidote V03AB17/diagnostic V04CG05); minimal set hyoscyamine+methenamine+phenyl salicylate matches production.
1739871,D07AA02,OTHER,HIGH,Plain topical hydrocortisone cream; D07AA02 is WHO's weak-potency plain code; C05AA01(anorectal)/D07AB/D07AC/D07XA(other-potency/combo) don't fit a plain skin cream.
1233729,A01AA01,OTHER,HIGH,"Sodium fluoride chewable tablet for caries prophylaxis -> A01AA01 (stomatological). A12CD01 is the systemic osteoporosis mineral-supplement code, wrong indication/dose context."
543362,D01AE12,KEEP_CURRENT,HIGH,Salicylic acid topical cream; D01AE12 confirmed via RxNav property API as salicylic acid's WHO code; already correctly narrowed.
860234,R01BA03|R05CA03|R05DA03,KEEP_CURRENT,MED,Multi-ingredient minimal per-ingredient set (auto-derived) matches current_final; no dedicated combo L5 identified.
860426,R01BA03|R05CA03|R05DA03,KEEP_CURRENT,MED,Multi-ingredient minimal per-ingredient set (auto-derived) matches current_final; no dedicated combo L5 identified.
1012375,G01AE10,OTHER,HIGH,"Trysul (sulfabenzamide+sulfacetamide+sulfathiazole vaginal cream): WHO G01AE10 'combinations of sulfonamides' (gynecological) is the dedicated combo code, verified via official WHO ATC index; D06BA02/D10AF06 are topical-route codes for a different (dermatological) use of sulfacetamide/sulfathiazole."
1041847,D08AX08,KEEP_CURRENT,MED,Single-ingredient route-filtered code matches current_final; auto-derived via ingredient property-API lookup + route matrix.
307748,A02AA04|G04BX01,OTHER,MED,"Multi-ingredient minimal per-ingredient set (property-API lookup + route matrix + tie-break heuristics); no dedicated combo L5 identified for this combination. Ingredient(s) with no WHO ATC code found (omitted): aluminum hydroxide, simethicone."
1657904,A03BA03|J01XX05,OTHER,HIGH,Same as sibling Uramit product; methylene blue has no applicable WHO code; matches production.
1099893,D02AF,KEEP_CURRENT,HIGH,WHO D02AF (Salicylic acid preparations) has no L5 children (verified via official WHO ATC index); terminal L4 is the correct WHO answer for keratolytic paste.
1659219,M02AB01|N01BX04,OTHER,MED,"Multi-ingredient minimal per-ingredient set (property-API lookup + route matrix + tie-break heuristics); no dedicated combo L5 identified for this combination. Ingredient(s) with no WHO ATC code found (omitted): menthol, methyl salicylate."
824190,J01CR02,KEEP_CURRENT,HIGH,Augmentin amoxicillin+clavulanate already correctly resolved to dedicated combo code J01CR02.
856792,N06CA01,KEEP_CURRENT,HIGH,Limbitrol (amitriptyline+chlordiazepoxide) already correctly resolved to dedicated combo code N06CA01.
1117398,D02AA,KEEP_CURRENT,HIGH,"Dimethicone topical gel skin-protectant; ATCPROD-confirmed D02AA (Silicone products). Ingredient-level property API only carries dimethicone's antilice code P03AX05, which is the wrong indication for this barrier-cream product."
210760,A11GA01|B03AA02,KEEP_CURRENT,MED,Multi-ingredient minimal per-ingredient set (auto-derived) matches current_final; no dedicated combo L5 identified.
211069,D04AB02,OTHER,MED,Single-ingredient route-filtered code (property-API + route matrix + tie-break heuristics) differs from current_final; corrected to route/context-appropriate code(s).
1125471,D02AB,KEEP_CURRENT,HIGH,Zinc oxide topical cream; ATCPROD-confirmed D02AB (Zinc oxide preparations).
860149,R01BA03|R05DA03,KEEP_CURRENT,MED,Multi-ingredient minimal per-ingredient set (auto-derived) matches current_final; no dedicated combo L5 identified.
1116117,R01AA03,OTHER,MED,Single-ingredient route-filtered code (property-API + route matrix + tie-break heuristics) differs from current_final; corrected to route/context-appropriate code(s).
211223,D03BA01,KEEP_CURRENT,MED,Multi-ingredient minimal per-ingredient set (auto-derived) matches current_final; no dedicated combo L5 identified.
1043249,S01GA02,USE_ATCPROD,HIGH,"Tetrahydrozoline(=tetryzoline)+zinc sulfate ophthalmic decongestant solution; ATCPROD gives S01GA02 (tetryzoline, plain) for this specific product; current_final's S01GA51 is actually 'naphazoline, combinations' - wrong substance entirely. Zinc sulfate's systemic mineral-supplement codes (A12CB01/B05XA18) don't fit ophthalmic astringent use."
1863606,B05BB02,KEEP_CURRENT,HIGH,Already correct.
