rxcui,final_codes,fix_action,confidence,evidence
204638,D01AE12|D11AC08,OTHER,MED,"salicylic acid + sulfur medicated shampoo: D01AE12(salicylic acid)+D11AC08(sulfur compounds, antiseborrhoeic-shampoo class); no dedicated 2-ingredient shampoo code exists"
206522,S02CA03,OTHER,HIGH,hydrocortisone+neomycin+polymyxin B OTIC suspension -> dedicated WHO combo class S02CA03 'hydrocortisone and antiinfectives'
313550,D01AE04,KEEP_CURRENT,MED,undecylenic acid + zinc undecylenate = same active moiety (zinc salt of undecylenic acid); D01AE04 covers the substance
315004,R02AD01,KEEP_CURRENT,HIGH,benzocaine+licorice+menthol oral lozenge: R02AD01 oropharyngeal benzocaine correct; licorice/menthol have no fitting code
904255,A12CX,KEEP_CURRENT,MED,KCl+NaCl oral tablet: A12CX 'other mineral products' terminal L4 fits combined electrolyte tablet; no per-ingredient oral code exists for this combo
731577,J01CE08,OTHER,HIGH,"penicillin G benzathine injectable suspension (Bicillin L-A): J01CE08 'benzathine benzylpenicillin' only; J01CE01 is plain benzylpenicillin, wrong salt form"
866214,D02AB|D02AC,OTHER,MED,"lanolin+petrolatum+zinc oxide topical ointment: zinc oxide=D02AB + petrolatum=D02AC (both terminal L4s, no L5 exists for either substance); lanolin has no WHO code; C05AX04(hemorrhoid-specific) wrong use-context"
308909,A02AF02,OTHER,HIGH,calcium-carbonate/aluminum-magnesium 'ordinary salt' antacid + simethicone/dimethicone antiflatulent -> dedicated combo class A02AF02 'ordinary salt combinations and antiflatulents'
312288,N02AD01|N02BE01,OTHER,MED,acetaminophen+pentazocine tablet: no WHO combo code for pentazocine+APAP; use per-ingredient N02AD01(pentazocine)+N02BE01(APAP)
753457,D06AX04|D06AX05,OTHER,MED,"bacitracin+neomycin+polymyxin B TOPICAL ointment (Neosporin): neomycin=D06AX04, bacitracin=D06AX05; polymyxin B has no WHO topical-skin code"
308894,A02AF02,OTHER,HIGH,calcium-carbonate/aluminum-magnesium 'ordinary salt' antacid + simethicone/dimethicone antiflatulent -> dedicated combo class A02AF02 'ordinary salt combinations and antiflatulents'
310688,S01CA03,OTHER,HIGH,hydrocortisone+neomycin+polymyxin B OPHTHALMIC ointment -> S01CA03 'hydrocortisone and antiinfectives'
202098,M01AE01,OTHER,HIGH,"ibuprofen 800mg oral tablet (Motrin, systemic NSAID): M01AE01; drop cardiac/gynecological/throat-lozenge sibling codes, wrong routes"
309259,J01AA03,OTHER,HIGH,"chlortetracycline oral capsule (systemic use): J01AA03; A01AB21 is the local oral/dental antiinfective code, wrong route for a systemic capsule"
631803,D02AA|D02AC,OTHER,MED,"dimethicone+petrolatum topical cream: D02AA(silicone)+D02AC(paraffin/fat), both terminal L4s"
647328,R01BA53|R05CA03,OTHER,MED,guaifenesin+phenylephrine oral solution: phenylephrine combo variant R01BA53 (WHO: combos classified in R01B); guaifenesin R05CA03 plain (no combo suffix exists)
644148,R01AX,KEEP_CURRENT,LOW,"saline nasal spray/gel/inhalation solution: no WHO L5 exists specifically for sodium chloride nasal use; R01AX (nasal preparations, other) terminal L4 accepted; production's systemic IV-electrolyte/ophthalmic-hypertonic-saline codes are wrong route"
749787,G03AA06,OTHER,HIGH,ethinylestradiol+norgestrel oral contraceptive pack (Lo/Ovral): dedicated combo G03AA06 'norgestrel and ethinylestradiol'
695932,A02BC01,OTHER,MED,omeprazole + sodium bicarbonate + magnesium hydroxide chewable (Zegerid-type): classified by the active PPI ingredient A02BC01; buffering antacids not separately coded for this product
701128,C05AA01,OTHER,LOW,hydrocortisone+iodoquinol rectal cream (Lodocortisone): C05AA01 hydrocortisone rectal/anal code; iodoquinol has no clear rectal-topical WHO code
201896,J02AB02,OTHER,MED,"ketoconazole oral tablet (Nizoral, primary antifungal use): J02AB02; drop probable duplicate/mis-specific H02CA04, H02CA03 Cushing's-specific code not the primary indication for a generic tablet"
371774,B05BB01,KEEP_CURRENT,HIGH,glucose+sodium chloride IV solution: B05BB01 'electrolytes' generic IV-fluid combo code correct
800420,B05BA01,KEEP_CURRENT,HIGH,multi-amino-acid parenteral nutrition solution: B05BA01 'amino acids'; per-amino-acid electrolyte/antidote/antidepressant codes (glycine/lysine/methionine/tryptophan) do not apply to a TPN mixture
831117,C08DB01,OTHER,HIGH,"diltiazem ER oral tablet/capsule (systemic antihypertensive/antianginal): C08DB01; C05AE03 is the topical/rectal anal-fissure gel code, wrong route"
896821,N02AA02,OTHER,MED,"opium injectable solution (systemic use, not oral antidiarrheal): N02AA02 opioid analgesic; A07DA02 is the oral antidiarrheal-tincture code, wrong route for an injectable"
998538,D01AC02,KEEP_CURRENT,HIGH,miconazole nitrate topical antifungal spray/cream: D01AC02 correct route; production's dental/vaginal codes wrong route
645649,D10AD01,KEEP_CURRENT,HIGH,"tretinoin topical gel (acne use): D10AD01 correct; L01XX14 is the systemic oncology tretinoin code, wrong route"
751876,G03AA05,OTHER,HIGH,ethinylestradiol+norethindrone oral contraceptive pack: dedicated combo G03AA05 'norethisterone and ethinylestradiol'
978579,C07AA15,KEEP_CURRENT,HIGH,"carteolol oral tablet (systemic antihypertensive, Cartrol): C07AA15 correct; S01ED05 is the ophthalmic glaucoma-drop code, wrong route"
1995466,A07AA01,OTHER,HIGH,"neomycin sulfate oral solution (GI-local use, hepatic encephalopathy/bowel prep - not systemically absorbed): A07AA01; J01GB05 is the systemic injectable aminoglycoside code, wrong route"
206199,H02AB07,OTHER,HIGH,"prednisone oral solution (Liquid Pred, systemic): H02AB07; drop GI-local A07EA03"
206789,N02BA01,OTHER,MED,"single-ingredient aspirin 975mg delayed-release tablet (Easprin, anti-inflammatory dose): N02BA01 analgesic code; drop dental A01AD05 and antiplatelet B01AC06 (wrong dose/use)"
800662,A12BA01|A12CA01|B05CB01|B05CX01|B05XA01|B05XA03|B05XA15|V04CA02|V06DC01,KEEP_CURRENT,LOW,"complex multi-electrolyte IV solution: current multi-code set accepted, no cleaner single-code alternative found"
809346,D01AE20,OTHER,MED,benzoic acid+salicylic acid topical (Whitfield's-type) -> D01AE20 'combinations' under antifungals for topical use; no per-ingredient benzoic-acid code exists
311957,A11HA01|N03AA02,OTHER,MED,"niacin 3.3mg (vitamin-range dose, not pharmacologic)+niacinamide+phenobarbital tablet: drop niacin's pharmacologic-dose codes C04AC01/C10AD02 (wrong dose-context), keep niacinamide A11HA01+phenobarbital N03AA02"
198315,C03EA01,KEEP_CURRENT,MED,hydrochlorothiazide+triamterene: dedicated combo class C03EA01 'thiazides and potassium-sparing agents'
1986365,D01AE12,OTHER,HIGH,salicylic acid=D01AE12 (only WHO L5 for the substance); D02AF/D11AF are L4s with zero L5 children per atcddd.fhi.no
828600,N02AC04|N06BC01,OTHER,HIGH,"aspirin+caffeine+propoxyphene capsule: strip aspirin's own codes, keep propoxyphene(N02AC04)+caffeine(N06BC01)"
834164,D08AC02,OTHER,HIGH,"chlorhexidine topical antiseptic soap/pad/spray: D08AC02; D09AA12 is the medicated-DRESSING code (wrong product type), A01AB03 is the dental/oral-local code (wrong route)"
834175,D08AC02,OTHER,HIGH,"chlorhexidine topical antiseptic soap/pad/spray: D08AC02; D09AA12 is the medicated-DRESSING code (wrong product type), A01AB03 is the dental/oral-local code (wrong route)"
849546,D07AA02,OTHER,HIGH,"plain hydrocortisone topical lotion: D07AA02 (weak group); D07AB02/D07AB11 are the BUTYRATE/BUTEPRATE ESTER codes, wrong substance form"
2105785,D01AA01|D06AX04|D07AB09,OTHER,MED,neomycin+nystatin+thiostrepton+triamcinolone topical ointment (Dermalone): nystatin D01AA01+neomycin D06AX04+triamcinolone D07AB09; thiostrepton has no WHO code; drop combo-only D07XB02
211333,N06BC01,OTHER,MED,aspirin+butalbital+caffeine tablet (Fiorinal): strip aspirin codes; butalbital has no WHO ATC code; keep caffeine N06BC01 only
2119805,D04AB01,OTHER,HIGH,"lidocaine+menthol TOPICAL (skin) gel/cream: D04AB01; C05AD01 is the rectal/anal-fissure lidocaine code, wrong route"
213495,R02AD01,KEEP_CURRENT,HIGH,benzocaine oral lozenge/gel: R02AD01 oropharyngeal code correct; drop rectal/topical-skin sibling codes
2183684,R01BA53,KEEP_CURRENT,HIGH,phenylephrine+chlorpheniramine ER suspension already uses combo suffix R01BA53; kept as-is per prior phase
1095682,M02AB01|M02AC,OTHER,HIGH,"camphor/capsaicin/menthol/methyl-salicylate topical rub: capsaicin=M02AB01 (real L5) + M02AC (terminal L4 for the salicylate-derivative content, methyl salicylate itself has no dedicated L5); current_final's single M02AC code omitted the capsaicin component"
1099897,B03AA02|G03AA05,OTHER,HIGH,ethinylestradiol+norethindrone contraceptive + ferrous fumarate iron pills (Generess Fe): G03AA05 + B03AA02
204466,J01CE08|J01CE09,KEEP_CURRENT,MED,"penicillin G potassium injection: matches production, salt-specific codes retained"
857608,R01BA53|R05DA03|R06AB51,OTHER,MED,"brompheniramine+hydrocodone+phenylephrine oral solution: R01BA53(phenylephrine combo)+R06AB51(brompheniramine combo)+R05DA03(hydrocodone plain, no combo suffix)"
213125,A04AD01,OTHER,LOW,"scopolamine oral tablet (Scopace, antiemetic/motion-sickness use): A04AD01; N05CM05 sedative-use code less applicable to this indication, dropped"
1149388,A01AA01,OTHER,HIGH,"sodium fluoride dental caries prophylaxis = A01AA01; A12CD01 is the systemic mineral-supplement sibling code, wrong use-context"
1189206,D07AA02,OTHER,HIGH,plain hydrocortisone topical cream (Neosporin Eczema): D07AA02; drop ester codes D07AB02/D07AB11
485348,S01CA03,OTHER,HIGH,hydrocortisone+neomycin+polymyxin B OPHTHALMIC solution -> S01CA03
584503,S02DA03,KEEP_CURRENT,HIGH,antipyrine(phenazone)+benzocaine otic solution: dedicated combo S02DA03 already current
603589,R01BA53|R06AB54,OTHER,MED,"carbetapentane+chlorpheniramine+phenylephrine ER suspension: R01BA53+R06AB54(chlorphenamine combo); carbetapentane has no WHO code (current R05DB05=pentoxyverine, wrong substance) - dropped"
1000137,G03DA02,OTHER,LOW,"medroxyprogesterone acetate 2.5mg oral tablet (Cycrin, low-dose gynecological/menstrual-regulation use): G03DA02; drop contraceptive G03AC06 and oncology L02AB02 codes, wrong dose-context"
1000373,G03AC06|G03DA02|L02AB02,KEEP_CURRENT,LOW,medroxyprogesterone acetate injectable suspension: dose/indication (contraceptive vs. oncology vs. HRT) not determinable from the row; current dual-use codes retained
1001082,S01EA01|S01EB01,KEEP_CURRENT,MED,"epinephrine+pilocarpine ophthalmic solution (P1E1-type): per-ingredient antiglaucoma codes correct, no dedicated combo exists"
1006547,P02CF01,KEEP_CURRENT,HIGH,"ivermectin chewable tablet (Heartgard, systemic antiparasitic): P02CF01 correct route"
1012025,S01CA02,OTHER,HIGH,prednisolone+sulfacetamide OPHTHALMIC solution (Vasocidin) -> S01CA02 'prednisolone and antiinfectives'
1012354,C05AA01|C05AD01,OTHER,MED,hydrocortisone acetate+lidocaine RECTAL cream (Lidazone): C05AA01+C05AD01 (both rectal-route codes)
1046307,S01AA11,OTHER,LOW,"gentamicin OPHTHALMIC solution (Garamycin/Genoptic): S01AA11 (ophthalmic-specific); S03AA06 is the combined ophth+otic code, less precise for a pure ophthalmic solution"
1046605,D08AE04,OTHER,MED,"triclosan medicated bar soap: D08AE04; D09AA06 is the medicated-dressing code, wrong product type for a bar soap"
1049178,D08AJ08,KEEP_CURRENT,HIGH,"single-ingredient benzethonium chloride topical antiseptic: D08AJ08 correct; drop throat-lozenge R02AA09, wrong route"
1053304,D01AE12,KEEP_CURRENT,HIGH,"salicylic acid topical = D01AE12, confirmed on WHO ATC index"
1053736,D01AA01|D07AB09,OTHER,MED,nystatin+triamcinolone acetonide topical ointment (Nyst-Olone): D01AA01+D07AB09
1053705,D01AA01|D07AB09,OTHER,MED,nystatin+triamcinolone acetonide topical ointment (Myco-Triacet): D01AA01+D07AB09
248328,R01AX,KEEP_CURRENT,LOW,"saline nasal spray/gel/inhalation solution: no WHO L5 exists specifically for sodium chloride nasal use; R01AX (nasal preparations, other) terminal L4 accepted; production's systemic IV-electrolyte/ophthalmic-hypertonic-saline codes are wrong route"
