rxcui,final_codes,fix_action,confidence,evidence
406396,G03AA11,KEEP_CURRENT,HIGH,norgestimate+EE combined OC; WHO G03AA11 exact match; atcprod_candidate includes G03AA11
616968,R01BA03|R05DB05|R06AC01,KEEP_CURRENT,MED,route=oral; route-matrix filter made no changes to current_final
1014195,D08AE05|D04AB07,OTHER,LOW,"chloroxylenol+pramoxine Otic Solution; WHO has no otic-specific code for either substance (S02AA lacks chloroxylenol, S02DA lacks pramoxine) and no dedicated combo exists -- fell back to each substance's general WHO code (D08AE05 antiseptic, D04AB07 local anesthetic); route imperfect, needs human review"
1039016,D08AJ01|D08AJ08,OTHER,HIGH,route=topical; stripped wrong-route pollutant code(s) ['D09AA11'] per DFG/route matrix
1043056,D01AE12,OTHER,HIGH,"single-ingredient topical salicylic acid; WHO confirms D01AE12 is the ONLY code for this substance (verified live against atcddd.fhi.no) regardless of dose form (gel/lotion/shampoo/pad/powder/solution); D11AF is not a valid WHO code, D11AC (medicated shampoos) does not list salicylic acid, N02BA04/12 (sodium/potassium salicylate) is a different systemic-analgesic substance entirely"
1086267,H02AB08,OTHER,HIGH,"triamcinolone acetonide Injectable Suspension (systemic IM/intra-articular, U-Tri-Lone); WHO H02AB08 (systemic corticosteroid) matches production; dental A01AC01, anorectal C05AA12, and inhaled R03BA06 stripped as wrong-route pollution"
1086634,R01BA03|R05DA04|R06AB01,KEEP_CURRENT,MED,route=oral; route-matrix filter made no changes to current_final
244400,D06AX04|D07AC07,KEEP_CURRENT,HIGH,route=topical; route-matrix filter made no changes to current_final
259184,R01BA03|R05CA03,KEEP_CURRENT,HIGH,route=oral; route-matrix filter made no changes to current_final
1735057,N01AH01|N02AB03,KEEP_CURRENT,HIGH,route=injectable; route-matrix filter made no changes to current_final
