rxcui,final_codes,fix_action,confidence,evidence
1012118,S01CB02,OTHER,HIGH,"prednisolone sodium phosphate+sulfacetamide sodium Ophthalmic Suspension [Supred] -- WHO's exact dedicated combo L5 S01CB02 'prednisolone and antiinfectives' (verified live S01CB index) applies directly, superseding the scattered per-ingredient codes in current_final."
1049127,D04AB07|D08AJ01,OTHER,HIGH,"benzalkonium chloride+pramoxine Topical Spray [Neosporin Neo To Go] -- D08AJ01 (benzalkonium) + D04AB07 'pramocaine' (pramoxine, verified live D04AB index; corrects current_final's mismatched D08AJ08 which is benzethonium, an ingredient not present in this product)."
1046877,A03CB03,OTHER,HIGH,"atropine+hyoscyamine+phenobarbital+scopolamine Oral Solution [Donnapine, a Donnatal-type formula]. WHO has a dedicated class A03C 'antispasmodics in combination with psycholeptics' precisely for belladonna-alkaloid + barbiturate combinations; A03CB03 'atropine and psycholeptics' is the verified live WHO code (atropine is treated as the reference belladonna alkaloid for this class)."
247294,D04AB04,OTHER,HIGH,"benzocaine 75mg/mL Topical Cream (skin, not throat) -> D04AB04 'benzocaine' (topical antipruritic class)."
307757,A02AX,OTHER,HIGH,"aluminum hydroxide+magnesium hydroxide+simethicone Oral Suspension -- antacid+antiflatulent combo -> A02AX 'antacids, other combinations' (verified live terminal L4, no further L5; the standard WHO bucket for antacid+simethicone products)."
205771,J01MA02,OTHER,HIGH,ciprofloxacin 750mg Oral Tablet [Cipro] -- systemic -> J01MA02. Dropped S03AA07 (ophth/otic -- wrong route).
809204,R01BA51|R01BA53|R06AB54,OTHER,MED,"chlorpheniramine+phenylephrine+phenylpropanolamine+phenyltoloxamine ER Oral Tablet -- two decongestants (phenylephrine R01BA53, phenylpropanolamine R01BA51, both combo-suffix WHO codes) plus one antihistamine with its own combo suffix (chlorphenamine R06AB54). Phenyltoloxamine has no WHO ATC entry."
833706,C08DB01,OTHER,HIGH,24HR diltiazem HCl 360mg ER Oral Capsule [Diltzac] -- systemic calcium-channel blocker -> C08DB01. Dropped C05AE03 (anti-hemorrhoidal diltiazem class -- wrong indication for a systemic ER capsule).
847629,B05BB01,OTHER,MED,"calcium chloride+glucose+potassium chloride+sodium chloride Injectable Solution -- premixed multi-electrolyte+dextrose IV bag, matching the verified pattern (rxcui 1794887/1863605, both ATCPROD-confirmed B05BB01 for glucose+electrolyte IV combinations) -> B05BB01."
848182,D07AC01,OTHER,HIGH,"Augmented betamethasone Topical Ointment [Betamethacot] -- plain (single-ingredient) potent topical corticosteroid -> D07AC01 'betamethasone' (potent group, verified live D07AC index). Dropped C05AA05(perianal-wrong context)/D07XC01(reserved for genuine multi-active combinations, not applicable to a plain augmented-vehicle product)."
210008,A02AX,OTHER,HIGH,same formula (Al(OH)3+Mg(OH)2+simethicone) -> A02AX.
210010,A02AX,OTHER,HIGH,same formula -> A02AX.
212421,M02AB01,OTHER,HIGH,capsaicin 0.75mg/mL Topical Lotion [Capzasin-HP] -- topical route -> M02AB01 'capsaicin' (matches current_final). Dropped N01BX04 (systemic-context capsaicin entry -- less precise than the dedicated topical-analgesic M02AB class).
213217,R05CA02,OTHER,MED,potassium iodide 65mg/mL Oral Solution [Pima] -- kept the expectorant-class code shared by both current_final and production; potassium iodide's alternate thyroid-blocking/antidote use (V03AB21) is a different indication not distinguishable from the RxCUI alone.
1099764,R01BA52|R06AX07,OTHER,MED,pseudoephedrine+triprolidine Oral Tablet [Trisudrine] -- pseudoephedrine R01BA52 (combo suffix) + triprolidine R06AX07 (no combo suffix exists for triprolidine specifically).
314109,G03BA02,OTHER,HIGH,"methyltestosterone 10mg Sublingual Tablet, single-ingredient androgen -> G03BA02 (matches production). Dropped G03EK01 (a duplicate methyltestosterone entry reserved for a different combination context)."
359936,R01BA53|R05CA03,OTHER,MED,"guaifenesin+phenylephrine ER Oral Tablet -- R05CA03 (guaifenesin, no combo suffix) + R01BA53 (phenylephrine combinations)."
856706,N06CA01,KEEP_CURRENT,HIGH,atcprod_coverage=COVERED with no candidate override recorded: current_final already matches ATCPROD's specific product-level classification.
857525,N02BA51|R05DA03,OTHER,MED,"aspirin 325mg+hydrocodone combo, analgesic use. Aspirin has its own WHO combo suffix N02BA51 ('...combinations excl. psycholeptics'; hydrocodone is an opioid, not a psycholeptic/sedative). Hydrocodone has no combo-suffix variant (only generic R05DA20); kept at its plain code R05DA03, WHO's only code for the substance."
208920,A12BA01,OTHER,HIGH,potassium chloride 10 MEQ ER Oral Capsule [K Norm] -- oral route -> A12BA01 (matches current_final). Dropped B05XA01 (IV additive concentrate class -- wrong route for an oral capsule).
210535,D08AX01,OTHER,HIGH,"hydrogen peroxide 30mg/mL Topical Solution [Proxacol] -> D08AX01 (matches current_final). Dropped D11AX25(duplicate hydrogen-peroxide entry under a different, less-specific L4)/A01AB02(dental-wrong route)."
2106743,A07BB,KEEP_CURRENT,HIGH,atcprod_coverage=COVERED with no candidate override recorded: current_final already matches ATCPROD's specific product-level classification.
237402,A12AX,OTHER,HIGH,"calcium carbonate+ergocalciferol Oral Capsule -- calcium+vitaminD supplement, not an antacid -> A12AX 'calcium, combinations with vitamin D and/or other drugs' (verified live terminal L4)."
1112686,A02AX,OTHER,HIGH,Al(OH)3+Mg(OH)2+simethicone [Maldroxal] -> A02AX.
1189673,B05BB01,OTHER,MED,Plasma-Lyte M in 5% Dextrose Injectable Solution -- same premixed dextrose+multi-electrolyte IV-bag pattern -> B05BB01.
1232720,R01AA06,OTHER,HIGH,tetrahydrozoline HCl 1mg/mL NASAL Spray [Tyzine] -- topical nasal decongestant -> R01AA06 (matches current_final). Dropped R01AB03(distinct/less-specific entry)/S01GA02(ophthalmic -- wrong route).
562253,J01CR02,KEEP_CURRENT,HIGH,atcprod_coverage=COVERED with no candidate override recorded: current_final already matches ATCPROD's specific product-level classification.
616513,D01AE12|D08AX08,OTHER,HIGH,"ethanol+salicylic acid Topical Lotion -> D01AE12 (salicylic acid, dermatological keratolytic) + D08AX08 (ethanol, topical antiseptic)."
616770,V03AB16|V03AZ01,OTHER,HIGH,"ethanol 0.992mL/mL Injectable Solution -- IV ethanol (antidote for methanol/ethylene-glycol poisoning, or solvent vehicle) -- kept current_final's already-correct antidote-class codes (V03AB16 ethanol antidote, V03AZ01). Dropped D08AX08 (topical antiseptic -- wrong route for an injectable)."
859943,R01BA53|R05CA03|R05DA03,OTHER,MED,guaifenesin+hydrocodone+phenylephrine Oral Solution [Simuc-HD] -- R05CA03 (guaifenesin) + R05DA03 (hydrocodone) + R01BA53 (phenylephrine combinations).
1020199,N02BE01|R01BA53,OTHER,MED,"APAP+chlorpheniramine+phenylephrine Oral Tablet -- N02BE01 (paracetamol) + R01BA53 (phenylephrine, combinations, verified WHO combo suffix). Chlorpheniramine's own combo suffix (R06AB54) is a plausible addition, but given three active classes already, kept the two most clinically load-bearing codes per production's lead; MEDIUM reflects this residual choice."
1049266,D08AJ01,OTHER,HIGH,benzalkonium chloride ALONE Topical Spray [Zephiran] -- single ingredient -> D08AJ01.
1053861,D02AE01,OTHER,HIGH,"ammonium lactate+urea Topical Cream [Carb-O-Lac] -- urea D02AE01 (verified, matches current_final); ammonium lactate has no separate WHO code (lactic-acid-family emollient, subsumed)."
105446,N04BC01,USE_ATCPROD,MED,"Bromocriptine [Parlodel] carries two legitimate WHO substance-level codes (G02CB01 prolactin inhibitor / N04BC01 dopamine agonist antiparkinson) distinguished by clinical indication, not by product formulation -- RxNorm exposes only one product line. Not a combination product, so the combo-preference rule doesn't apply; ATCPROD's product-level classification (N04BC01) is the best available product-specific signal."
244099,B05BB01,OTHER,MED,"glucose+sodium chloride Injectable Solution -- premixed dextrose+saline IV bag, verified pattern -> B05BB01."
260391,H02AB06,OTHER,HIGH,prednisolone 25mg/mL Injectable Suspension -- systemic (IM) route; H02AB06 is WHO's systemic-corticosteroid code for prednisolone. Dropped A01AC04(dental)/A07EA01(rectal-GI)/C05AA04(perianal topical)/S03BA02(ophth/otic) -- all wrong route for an injectable.
1116552,G03AA05,OTHER,HIGH,"ethinyl estradiol+norethindrone acetate Oral Tablet [Jevantique] -- combined oral contraceptive -> G03AA05 'norethisterone and ethinylestradiol' (verified live G03AA index) -- WHO's dedicated combined-OCP code, replacing the scattered per-component codes in current_final."
