rxcui,final_codes,fix_action,confidence,evidence
1439968,D04AB01,OTHER,HIGH,"Topical medicated patch; D04AB01 (lidocaine, topical anesthetic/antipruritic) is the route-correct code (present in CF & production); C01BB01 (antiarrhythmic), C05AD01 (hemorrhoid), N01BB02 (injectable nerve-block), R02AD02 (oropharyngeal) are wrong-route/form lidocaine siblings; menthol has no WHO ATC code."
1442848,D07AA02|D08AH30,OTHER,MEDIUM,"Topical cream, clioquinol+hydrocortisone. Per-ingredient minimal set: D07AA02 (hydrocortisone, weak plain topical) + D08AH30 (clioquinol, quinoline antiseptic, confirmed WHO D08AH class). A dedicated combo D07BA04 'hydrocortisone and antiseptics' exists in WHO but is not attributed to this RxCUI by any NLM source, so kept conservative. Dropped wrong-ester D07AB02/D07AB11/D07AC16, wrong-route A07EA02/C05AA01/H02AB09/S01BA02, wrong-form D09AA10."
1484895,D01AE12,KEEP_CURRENT,HIGH,Coal tar/menthol/salicylic acid shampoo; D01AE12 (salicylic acid) already correct; coal tar and menthol have no WHO ATC code.
1485075,D01AE12,KEEP_CURRENT,HIGH,"Salicylic acid liquid soap, single ingredient; D01AE12 already correct."
1489374,D07AA02,OTHER,HIGH,Hydrocortisone acetate Topical Spray; D07AA02 is WHO's weak-plain topical hydrocortisone code (WHO does not separately code the acetate ester). Dropped D07XA01 (only for true 'other combination' hydrocortisone products) and A07EA02/D07AB02/D07AB11/H02AB09/S01BA02/A01AC03 ingredient-level route noise.
1537194,D07AA02|D04AA32|D08AJ08,OTHER,MEDIUM,"Topical spray, 3 distinct roles (steroid+antihistamine+antiseptic), no dedicated combo L5 found: D07AA02 (hydrocortisone) + D04AA32 (diphenhydramine, topical antipruritic) + D08AJ08 (benzethonium chloride, antiseptic)."
1537336,D01AC08|D08AC02,KEEP_CURRENT,HIGH,"Topical spray, chlorhexidine+ketoconazole (veterinary); current_final already the correct per-ingredient minimal set, both topical-route-correct; no dedicated combo L5 identified."
1544558,D06AX04,KEEP_CURRENT,HIGH,Neomycin Topical Ointment; D06AX04 already correct; A07AA01 (oral/rectal) and S01AA03 (ophthalmic) in production are wrong-route.
1552573,S03CA06,OTHER,MEDIUM,"Otic Ointment, betamethasone+clotrimazole+gentamicin (veterinary). WHO's dedicated otic corticosteroid+antiinfective class S02CA has no betamethasone entry; S03CA06 'betamethasone and antiinfectives' (combined ophthalmological/otological class) is the nearest confirmed dedicated WHO code."
1599785,C05AX06,OTHER,HIGH,"Rectal spray, phenylephrine+witch hazel (hemorrhoid product); C05AX06 is WHO's phenylephrine code under 'agents for treatment of hemorrhoids' (route-exact). Witch hazel has no WHO ATC code."
