rxcui,final_codes,fix_action,confidence,evidence
351706,D07BA,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
852869,A01AB22|J01AA02,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1148253,S01KA02,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1190639,A03BA01|A07DA01,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
543018,A09AB04|B05CB02,USE_ATCPROD,HIGH,upgrade L4-only (G04BC) to real per-ingredient L5s (citric acid + sodium citrate); no dedicated combo L5 exists
562781,S01BA04|S01CB02|S03BA02,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
857734,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
859137,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
860441,A07AA09|J01XA01,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1005789,D10AB02|D10AF06,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1039923,D07AA02|D07XA01,OTHER,HIGH,stripped cross-route/ester-mismatch: C05AA01|D07AB02|D07AB11|D07AC16
1044910,D08AC02|D09AA12,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1050493,G03AA12,KEEP_CURRENT,HIGH,dedicated combo code already correct; reject re-added drospirenone mono
1053618,R01BA52,OTHER,HIGH,strip redundant pseudoephedrine mono (R01BA02); R01BA52 combo-bucket already covers product
1085779,D07AB09|D07XB02,OTHER,HIGH,stripped cross-route/ester-mismatch: C05AA12
1117090,S01AA03|S01AA32,OTHER,HIGH,restore missing bacitracin code (S01AA32) alongside neomycin (S01AA03); polymyxin B has no ophthalmic-specific L5 available
1038754,A01AA01,USE_ATCPROD,HIGH,stripped cross-route/ester-mismatch: A12CD01
1086453,H02AB08,OTHER,HIGH,stripped cross-route/ester-mismatch: A01AC01|C05AA12|R03BA06
1039248,R02AD01,OTHER,HIGH,stripped cross-route/ester-mismatch: C05AD03
1722333,M01AE01|M01AE14,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1732122,D01AC08|D08AC02|D09AA12,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1011766,D04AB01|N01BB02,OTHER,MED,stripped cross-route/ester-mismatch: C05AD01; added route-correct/ingredient code: N01BB02
834768,G03AA09,KEEP_CURRENT,HIGH,dedicated combo code already correct; reject re-added desogestrel mono
2003464,D02AB,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
207214,G03BA02|G03EK01,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
847627,B05BB01,KEEP_CURRENT,MED,electrolyte-combination bucket already covers the whole IV solution
857687,R03CC03,USE_ATCPROD,HIGH,stripped cross-route/ester-mismatch: R03AC03
211394,N02BA03|N07AX02,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1091325,A11HA03|A16AA01|C01EB09,USE_ATCPROD,MED,stripped cross-route/ester-mismatch: C01EX; added route-correct/ingredient code: A11HA03|A16AA01|C01EB09
1094911,J01CE09,USE_ATCPROD,HIGH,product is penicillin G PROCAINE; strip plain benzylpenicillin (J01CE01) sibling code
1116195,R03CA02,OTHER,HIGH,stripped cross-route/ester-mismatch: C01CA26
2117976,D08AH30|D09AA10,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
1115759,D04AB01|D06AX05|N01BB02,OTHER,MED,stripped cross-route/ester-mismatch: C05AD01; added route-correct/ingredient code: N01BB02
310818,C03EA01,KEEP_CURRENT,HIGH,dedicated combo code (HCTZ+K-sparing diuretic) already correct
1090048,D01AE12,KEEP_CURRENT,HIGH,route-filtered candidate set matches current_final
