rxcui,drug_name,tty,production_atcs,final_atcs,verdict,source
602598,drospirenone 0.5 MG / ethinyl estradiol 1 MG Oral Tablet,SCD,G03AC10,G03AC10|G03CA01|L02AA03,CORRECT,prior
1547121,povidone-iodine 100 MG/ML Topical Solution [Triadine],SBD,D08AG02|G01AX11,D08AG02|D09AA09|D11AC06,KEEP_OURS,prior
476825,brompheniramine tannate 2.4 MG/ML / phenylephrine tannate 4 MG/ML Oral Suspension,SCD,R06AB01,R01BA03|R06AB01,KEEP_OURS,prior
310905,hydrofluoric acid 2.8 MG/ML / sodium fluoride 10.9 MG/ML / stannous fluoride 4 MG/ML Oral Solution,SCD,A01AA04,A01AA01|A01AA04|A12CD01,CORRECT,prior
1088447,6-O-palmitoylascorbic acid 12 MG / alpha-tocopherol acetate 75 UNT / levocarnitine 250 MG / ubidecarenone 30 MG Oral Capsule [Carni Q-Gel Forte],SBD,A16AA01|C01EB09,C01EX,CORRECT,prior
206223,erythromycin 20 MG/ML Topical Solution [Eryderm],SBD,J01FA01,D10AF02,KEEP_OURS,prior
2183684,chlorpheniramine tannate 1.6 MG/ML / phenylephrine tannate 2 MG/ML Extended Release Suspension,SCD,R06AB04,R01BA53,FLAG_DATA_GAP,prior
245001,aluminum hydroxide 50.8 MG/ML / magnesium carbonate 47.5 MG/ML Oral Suspension,SCD,A02AB01,A02AD03,CORRECT,prior
204442,ibuprofen 40 MG/ML Oral Suspension,SCD,M01AE01|M01AE14|M02AA13,M01AE01,CORRECT,prior
1010900,lidocaine hydrochloride 5 MG/ML Injectable Solution,SCD,D04AB01|N01BB02|R02AD02,N01BB02,CORRECT,prior
2166129,diphenhydramine hydrochloride 0.833 MG/ML / phenylephrine hydrochloride 0.333 MG/ML Oral Solution,SCD,D04AA32|R01AA04|R06AA02|S01FB01|S01XA20,R01BA53,FLAG_DATA_GAP,prior
253182,"insulin, regular, human",IN,A10AB01|A10AC01|A10AD01|A10AE01,A10AB01|A10AC01|A10AD01|A10AE01|A10AF01,ADJUDICATED_ADOPT,prior
1994362,ibrutinib 70 MG Oral Capsule [Imbruvica],SBD,L01XE27,L01EL01,CORRECT,prior
1091941,salicylic acid 10 MG/ML Topical Solution [GM Collin Puracne],SBD,D01AE12|N02BA04,D01AE12,KEEP_OURS,prior
211598,hydrocortisone 5 MG/ML Topical Cream [Genasone/Aloe],SBD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01,KEEP_OURS,prior
1011854,lidocaine hydrochloride 0.02 MG/MG Topical Gel [Xylocaine],SBD,D04AB01|N01BB02|R02AD02,D04AB01,CORRECT,prior
1737563,30 ML lidocaine hydrochloride 10 MG/ML Injection [Xylocaine],SBD,D04AB01|N01BB02|R02AD02,C01BB01,ADOPTED_RULE,prior
899660,24 HR nitroglycerin 0.1 MG/HR Transdermal System [Nitro-Dur],SBD,C01DA02|C05AE01,C01DA02,CORRECT,prior
1117106,bacitracin zinc 0.5 MG/MG / polymyxin B sulfate 10 UNT/MG Topical Powder,SCD,A07AA05|D06AX05|J01XB02|J01XX10|R02AB04|S01AA18|S02AA11|S03AA03,D06AX05,KEEP_OURS,prior
2629337,0.5 ML fentanyl 0.05 MG/ML Prefilled Syringe,SCD,N01AH01|N02AB03,N01AH01,ADOPTED_RULE,prior
1010033,lidocaine hydrochloride 10 MG/ML Injectable Solution,SCD,D04AB01|N01BB02|R02AD02,N01BB02,CORRECT,prior
1244968,sodium chloride 35 MG/ML Inhalation Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,CORRECT,prior
1091910,hydrofluoric acid 0.01 MG/ML / sodium fluoride 0.0023 MG/ML Oral Foam,SCD,A01AA01,A01AA01|A12CD01,CORRECT,prior
1100894,calcium carbonate 1500 MG / cholecalciferol 1000 UNT Oral Capsule,SCD,A11CC05,A12AX,CORRECT,prior
1535468,ceritinib 150 MG Oral Capsule [Zykadia],SBD,L01XE28,L01ED02,CORRECT,prior
1090522,iodine povacrylex 7 MG/ML / isopropyl alcohol 0.74 ML/ML Topical Solution [DuraPrep],SBD,D08AX05,D08AG,CORRECT,prior
312013,nitroglycerin 2.5 MG Extended Release Oral Capsule,SCD,C01DA02|C05AE01,C01DA02,CORRECT,prior
1000717,sulfacetamide sodium 0.1 MG/MG Topical Gel [Seb-Prev],SBD,D10AB02,D10AF06,KEEP_OURS,prior
204423,hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution,SCD,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02,S02CA03,FLAG_DATA_GAP,prior
