rxcui,judgment,should_be,reason_category,note
1049127,CHANGE_WRONG,D08AJ01,other,"D08AJ08 is didecyldimethylammonium chloride (a different antiseptic not in this product); pramoxine has no dedicated topical WHO L5 so the underlying gap is real, but D08AJ08 should not have been kept"
211316,CHANGE_WRONG,D04AB04,wrong-route,"Benzocaine topical spray for skin should map to D04AB04 (topical antipruritic/anesthetic); N01BA05 is the general ester-anesthetic bucket. Inconsistent with rxcui 245650 (same ingredient), which correctly kept D04AB04"
1088805,CHANGE_CORRECT,,,"Correctly fills the calcium-carbonate gap with both legitimate WHO codes (A12AA04 supplement / A02AC01 antacid) alongside the existing folic acid/B12/B6 codes"
351913,CHANGE_CORRECT,,,"Topical antifungal gel correctly keeps D01AE14 (topical) and drops G01AX12 (vaginal route)"
657568,CHANGE_CORRECT,,,"Ophthalmic ketotifen correctly keeps S01GX08 and drops the oral-antihistamine code R06AX17"
93131,CHANGE_WRONG,D07AC08,other,"C05AA11 (hemorrhoid corticosteroid) does not fit fluocinonide; likely confusion with the similarly-named fluocinolone acetonide, which does have a C05AA entry. Lidex is a topical solution with no hemorrhoid indication"
700499,CHANGE_CORRECT,,,"Cyanokit (high-dose hydroxocobalamin) correctly resolves to the cyanide-antidote code V03AB33, dropping the vitamin-B12-replacement code B03BA03 since that's not this product's indication"
213120,CHANGE_CORRECT,,,"Noritate topical cream correctly keeps only D06BX01 (topical antibacterial), dropping dental and systemic-antiprotozoal codes"
311953,CHANGE_CORRECT,,,"Niacin ER 200mg keeping both C04AC01 (vasodilator) and C10AD02 (lipid-modifying) is defensible for a mid-range/ambiguous dose; WHO legitimately dual-classifies niacin"
1046908,CHANGE_WRONG,A03BA01|A03BA03|G04BX12|J01XX05|V03AB17|V04CG05,other,"A16AX11 doesn't correspond to any ingredient in this product and is absent from the near-identical combo at rxcui 1293320 (Prosed) -- looks like spurious pollution"
1293320,CHANGE_CORRECT,,,"Prosed combo (same ingredient class as Uri-Sep) resolves to a consistent, well-supported ingredient code set without spurious additions"
1235591,CHANGE_CORRECT,,,"Raltegravir correctly reclassified to J05AJ01 (integrase inhibitors), the current WHO chapter; J05AX08 was the old provisional 'other antivirals' bucket"
1038824,CHANGE_CORRECT,,,"Correctly adds R01BA03 (phenylephrine) alongside existing acetaminophen and chlorpheniramine codes, giving full 3-ingredient coverage"
1235874,CHANGE_CORRECT,,,"Consolidating a monophasic ethinyl estradiol/norethindrone OC pack to a single dedicated combo code (G03AA05) instead of separate estrogen/progestogen codes fits WHO's contraceptive-combo convention"
1047862,CHANGE_WRONG,A03CB,combo-split-to-ingredients,"Same 4-ingredient belladonna-alkaloid + phenobarbital formula (atropine/hyoscyamine/phenobarbital/scopolamine) as rxcui 1046815, which correctly resolved to the dedicated combo class A03CB (belladonna and derivatives in combination with psycholeptics). This row instead splits into individual ingredient codes plus an unverifiable N05CM05"
756269,CHANGE_CORRECT,,,"Correctly adds R01BA03 (phenylephrine... actually phenylpropanolamine/phenylephrine decongestant) while keeping brompheniramine's antihistamine code, giving full ingredient coverage"
208314,CHANGE_CORRECT,,,"Mintezol oral suspension (anthelmintic) correctly drops the topical-antifungal code, keeping only P02CA02"
1734934,CHANGE_CORRECT,,,"IV acyclovir correctly resolves to the systemic antiviral code J05AB01 only, dropping topical and ophthalmic codes"
860217,CHANGE_WRONG,L02AB01,ingredient-level-overbroad,"Megace (megestrol acetate) is an appetite-stimulant/antineoplastic product, not a contraceptive; G03AC05/G03DB02 reflect megestrol's other (progestogen) uses, not this product's labeled indication -- the same product-specific-use logic that correctly kept only V03AB33 for Cyanokit (rxcui 700499) should apply here"
313137,CHANGE_CORRECT,,,"Injectable sulfamethoxazole/trimethoprim correctly consolidates to the co-trimoxazole combo code J01EE01 instead of the two separate ingredient codes"
1796137,CHANGE_WRONG,M02AB01,l4-vs-l5-granularity,"Capsaicin's WHO L5 is M02AB01; final only supplies the bare L4 M02AB"
1595989,CHANGE_WRONG,D04AB01,wrong-route,"Topical lidocaine medicated patch should map to D04AB01 (topical anesthetic), not N01BB02 (general/injectable local-anesthetic bucket); inconsistent with rxcui 1872891 (same ingredient, same 'Medicated Pad' form), which correctly kept D04AB01"
198760,CHANGE_CORRECT,,,"Low-dose (50mg) niacin correctly resolves to the peripheral-vasodilator code C04AC01 alone, since this dose is below typical lipid-modifying range"
615979,CHANGE_CORRECT,,,"Sorafenib correctly reclassified to L01EX02, WHO's current protein-kinase-inhibitor chapter (superseding the old L01XE05)"
317865,UNSURE,A12AA04|A02AC01,other,"Calcium carbonate has legitimate dual WHO codes (A12AA04 supplement / A02AC01 antacid); a bare 'chewable tablet' name with no brand doesn't clearly disambiguate which use is intended, so switching from the supplement code to the antacid code alone can't be confirmed offline"
1000500,UNSURE,,wrong-strength-indication,"Prempro's exact G03FA/G03CA suffix depends on whether the regimen is continuous-combined vs sequential; can't confirm the specific dose-linked WHO suffix offline"
1673147,CHANGE_WRONG,N01BB01,ingredient-level-overbroad,"Epinephrine (the vasoconstrictor additive in this local-anesthetic injection) is exploded into four unrelated use-codes (A01AD01 dental, B02BC09 local hemostatic, C01CA24 cardiac stimulant, R03AA01 inhalant bronchodilator); none reflect its actual role as an anesthetic adjuvant here, and WHO has no such code for that use"
205596,CHANGE_WRONG,H02AB02,route-pollution,"Decadron-LA is an IM/intra-articular injectable suspension; dental (A01AC02), hemorrhoid (C05AA09), and eye/ear (S03BA01) codes are all wrong-route additions for an injectable depot corticosteroid"
727507,CHANGE_CORRECT,,,"Ovidrel (recombinant choriogonadotropin alfa) correctly keeps only G03GA08, dropping the natural/urinary-hCG code G03GA01"
1053761,CHANGE_WRONG,D07XB02,route-pollution,"Myco-Triacet is a topical nystatin+triamcinolone combination cream; C05AA12 (hemorrhoid corticosteroid) is wrong route, and the standalone ingredient codes (D01AA01, D07AB09) are likely redundant once the dedicated antifungal+corticosteroid combo code is used"
211297,CHANGE_WRONG,N02BA01|N06BC01,ingredient-level-overbroad,"OTC aspirin+caffeine analgesic tablet; B01AC06 (aspirin as antiplatelet) and A01AD05 (dental) reflect aspirin's other uses, not this product's analgesic indication"
1598052,CHANGE_CORRECT,,,"Oasis Tears (artificial tears) correctly switches from the laxative code to the ophthalmic S01XA20"
1000131,CHANGE_CORRECT,,,"400mg/mL is the high-dose oncology strength of medroxyprogesterone (vs 150mg/mL contraceptive Depo-Provera); correctly resolves to the antineoplastic code L02AB02 alone"
801192,CHANGE_CORRECT,,,"Replaces nonsensical ophthalmic codes (S01FB01, S01XA20) and wrong-route R01AA04 with the correct oral systemic decongestant/antihistamine codes for this oral suspension"
1011875,CHANGE_WRONG,D10AF,l4-vs-l5-granularity,"Sumaxin (sulfacetamide+sulfur anti-acne combo) likely has a dedicated WHO L5 under D10AF; final only supplies the bare L4"
1302643,CHANGE_CORRECT,,,"Propa P.H. medicated pad correctly keeps only D01AE12, dropping the systemic-analgesic code N02BA04"
1304971,UNSURE,,l4-vs-l5-granularity,"Bucalsep is a 4-ingredient mouth/throat antiseptic+anesthetic combo; R02AA (antiseptics) L4 is a plausible honest fallback but a more specific combo L5 can't be ruled in or out offline"
245650,CHANGE_CORRECT,,,"Benzocaine topical lotion correctly keeps C05AD03/D04AB04 and drops the throat-route code R02AD01"
1665002,CHANGE_CORRECT,,,"Injectable ketorolac correctly keeps only the systemic NSAID code M01AB15, dropping the ophthalmic code"
859126,CHANGE_CORRECT,,,"Muse (urethral alprostadil for ED) correctly keeps only G04BE01, dropping the unrelated cardiac PGE1 code C01EA01"
