rxcui,drug_name,tty,production_atcs,final_atcs,verdict,source
1044524,calcium carbonate 1000 MG Chewable Tablet [Tums],SBD,A12AA04,A02AC01,CORRECT,prior
1430054,undecylenic acid 200 MG/ML Topical Spray [Hongo Killer],SBD,D01AE04|D01AE20,D01AE04,CORRECT,prior
477245,diphenhydramine citrate 19 MG Disintegrating Oral Tablet,SCD,D04AA32|R06AA02,R06AA02,KEEP_OURS,prior
207359,minocycline 10 MG/ML Oral Suspension [Minocin],SBD,A01AB23|J01AA08,J01AA08,CORRECT,prior
857877,chlorpheniramine maleate 0.4 MG/ML / hydrocodone bitartrate 0.5 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution [Duradal HD Plus],SBD,R05DA03|R06AB04,R01BA03|R05DA03|R06AB04,KEEP_OURS,prior
1300191,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Prefilled Syringe [Adacel]",SBD,J07AF01|J07AM01,J07AJ52,FLAG_DATA_GAP,prior
1297389,calcium carbonate 1250 MG / cholecalciferol 200 UNT Oral Tablet [Oysco 500 with D],SBD,A11CC05,A12AX,CORRECT,prior
1098125,{1 (0.35 ML chondroitin sulfates 40 MG/ML / sodium hyaluronate 30 MG/ML Prefilled Syringe [Viscoat]) / 1 (0.4 ML sodium hyaluronate 10 MG/ML Prefilled Syringe [Provisc]) } Pack [Duovisc Kit 0.35/0.4],BPCK,M01AX25,S01KA51,FLAG_DATA_GAP,prior
804919,fibrinogen / thrombin Topical Solution,SCDF,B02BC06|B02BD30,B02BC06,FLAG_DATA_GAP,prior
209717,bacitracin 0.5 UNT/MG / diperodon 0.01 MG/MG / neomycin 0.0035 MG/MG Topical Ointment [Campho-Phenique Maximum Strength],SBD,A07AA01|D06AX04|S01AA03,D06AX04|D06AX05,KEEP_OURS,prior
1087218,ascorbic acid 75 MG / ferrous fumarate 333 MG / folic acid 0.5 MG / liver stomach concentrate 240 MG / vitamin B12 0.015 MG Oral Capsule [Ferotrinsic],SBD,A11GA01|B03BA01|B03BB01,A11GA01|B03AA02|B03BA01|B03BB01,KEEP_OURS,prior
1011705,lidocaine 0.05 MG/MG Medicated Patch [Lidoderm],SBD,D04AB01|N01BB02|R02AD02,D04AB01,CORRECT,prior
348805,ethinyl estradiol 0.04 MG / levonorgestrel 0.075 MG Oral Tablet,SCD,G03AC03|G03CA01,G03AA07,CORRECT,prior
208305,benzocaine 200 MG/ML Otic Solution [Otocain],SBD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04|N01BA05|R02AD01,CORRECT,prior
1043389,{1 (60000 MG) (clobetasol propionate 0.0005 MG/MG Topical Ointment) / 1 (100 ML) (coal tar 23 MG/ML Topical Solution [Psorent]) } Pack [Clobeta Plus Ointment],BPCK,D07AD01,D07AD01|S01BA17,CORRECT,prior
756237,ferrous sulfate 44 MG/ML Oral Solution [Yieronia],SBD,B03AA01|B03AA07,B03AA07,CORRECT,prior
1436947,hydrocortisone acetate 19 MG/ML / iodoquinol 10 MG/ML Topical Cream,SCD,G01AC01,D08AH,CORRECT,prior
1359128,{28 (estradiol 1 MG / norethindrone acetate 0.5 MG Oral Tablet) } Pack [Activella 1/0.5 28 Day],BPCK,G03CA03|G03CA53,G03FA01,FLAG_DATA_GAP,prior
688708,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Cortomycin Ointment],SBD,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02,S01AA03|S01AA18|S01AA32|S01BA02|S01CB03|S03AA01|S03AA03,KEEP_OURS,prior
248108,acyclovir 25 MG/ML Injectable Solution,SCD,D06BB03|J05AB01|S01AD03,J05AB01,CORRECT,prior
208129,tetracycline hydrochloride 250 MG Oral Capsule [Brodspec],SBD,J01AA07,A01AB13|J01AA07|S03AA02,KEEP_OURS,prior
748974,{28 (norethindrone 0.35 MG Oral Tablet) } Pack [Nor-QD 28 Day],BPCK,G03DC02,G03AC01|G03DC02,CORRECT,prior
346911,sodium salicylate 648 MG Delayed Release Oral Tablet,SCD,N02BA04,N02BA04|N02BA12,KEEP_OURS,prior
1001713,nitrofurazone 0.002 MG/MG Topical Ointment [NitroZone],SBD,B05CA03|D08AF01|D09AA03|P01CC02|S01AX04|S02AA02,D08AF01|D09AA03,KEEP_OURS,prior
1549315,prednisolone acetate 1.25 MG/ML Ophthalmic Suspension,SCD,A07EA01|H02AB06|S01BA04|S03BA02,S01BA04,CORRECT,prior
856908,acetaminophen 660 MG / hydrocodone bitartrate 10 MG Oral Tablet,SCD,N02BE01|R05DA03,N02AJ22,CORRECT,prior
1085614,nystatin 100000 UNT/ML / triamcinolone acetonide 1 MG/ML Topical Cream [N.T.A.],SBD,A01AB11|A01AC01|A07AA02|D01AA01|H02AB08|R01AD11,C05AA12|D01AA01|D07AB09|D07XB02,KEEP_OURS,prior
213556,betamethasone 0.0005 MG/MG Topical Ointment [Maxivate],SBD,D07AC01,C05AA05|D07AC01|D07XC01,KEEP_OURS,prior
213635,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment [Neotricin HC],SBD,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02,S01AA03|S01AA18|S01AA32|S01BA02|S01CB03|S03AA01|S03AA03,KEEP_OURS,prior
310910,hydrogen peroxide 15 MG/ML / povidone-iodine 50 MG/ML Mouthwash,SCD,A01AB02|D08AG02|D08AX01|D09AA09|D11AC06|G01AX11|R02AA15,A01AB02|D08AG02|D08AX01|D09AA09|D11AC06|D11AX25|G01AX11|R02AA15|S01AX18|S02AA06,CORRECT,prior
992660,homatropine methylbromide 1.5 MG / hydrocodone bitartrate 5 MG Oral Tablet [Hycodan],SBD,R05DA03|S01FA05,A03BB06|R05DA03,CORRECT,prior
1049406,Benzalkonium Chloride 500 MG/ML Topical Solution,SCD,D08AJ01|D08AJ08|R02AA16,D08AJ01|D08AJ08,FLAG_DATA_GAP,prior
1193337,ruxolitinib 10 MG Oral Tablet [Jakafi],SBD,L01XE18,L01EJ01,CORRECT,prior
2639041,0.27 ML buprenorphine 356 MG/ML Prefilled Syringe,SCD,N02AE01|N07BC01,N02AE01,ADOPTED_RULE,prior
1099488,pseudoephedrine hydrochloride 60 MG / triprolidine hydrochloride 2.5 MG Oral Tablet [Allerfrim],SBD,R01BA02|R01BA52|R06AX07,R01BA02|R06AX07,CORRECT,prior
260502,zinc oxide 0.4 MG/MG Topical Ointment [Desitin],SBD,C05AX04,D02AB,CORRECT,prior
2000019,ibrutinib 140 MG Oral Tablet [Imbruvica],SBD,L01XE27,L01EL01,CORRECT,prior
313996,gentamicin 40 MG/ML Injectable Solution,SCD,D06AX07|S03AA06,J01GB03,CORRECT,prior
