rxcui,drug_name,tty,production_atcs,final_atcs,verdict,source
1049127,Benzalkonium Chloride 1.3 MG/ML / Pramoxine hydrochloride 10 MG/ML Topical Spray [Neosporin Neo To Go],SBD,D08AJ01|D08AJ08|R02AA16,D08AJ01|D08AJ08,FLAG_DATA_GAP,prior
211316,benzocaine 200 MG/ML Topical Spray [Dermoplast],SBD,C05AD03|D04AB04|R02AD01,N01BA05,CORRECT,prior
1088805,24 HR calcium carbonate 200 MG / folic acid 1 MG / pyridoxine 75 MG / vitamin B12 0.012 MG Extended Release Oral Tablet [FoliNatal Plus B],SBD,A11HA02|B03BA01|B03BB01,A02AC01|A11HA02|A12AA04|B03BA01|B03BB01,KEEP_OURS,prior
351913,ciclopirox 0.0077 MG/MG Topical Gel [Loprox],SBD,D01AE14|G01AX12,D01AE14,KEEP_OURS,prior
657568,ketotifen 0.3 MG/ML Ophthalmic Solution,SCD,R06AX17|S01GX08,S01GX08,KEEP_OURS,prior
93131,fluocinonide 0.5 MG/ML Topical Solution [Lidex],SBD,D07AC08,C05AA11|D07AC08,CORRECT,prior
700499,hydroxocobalamin 5000 MG Injection [Cyanokit],SBD,B03BA03|V03AB33,V03AB33,CORRECT,prior
213120,metronidazole 10 MG/ML Topical Cream [Noritate],SBD,A01AB17|D06BX01|P01AB01,D06BX01,CORRECT,prior
311953,niacin 200 MG Extended Release Oral Tablet,SCD,C10AD02,C04AC01|C10AD02,CORRECT,prior
1046908,atropine sulfate 0.03 MG / benzoic acid 4.5 MG / hyoscyamine sulfate 0.03 MG / methenamine 40.8 MG / methylene blue 5.4 MG / phenyl salicylate 18.1 MG Oral Tablet [Uri-Sep],SBD,A03BA03|G04BX12|J01XX05,A03BA01|A03BA03|A16AX11|G04BX12|J01XX05|V03AB17|V04CG05,KEEP_OURS,prior
1293320,atropine sulfate 0.06 MG / benzoic acid 9 MG / hyoscyamine sulfate 0.06 MG / methenamine 81.6 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG Delayed Release Oral Tablet [Prosed],SBD,A03BA03|G04BX12|J01XX05,A03BA01|A03BA03|G04BX12|J01XX05|V03AB17|V04CG05,KEEP_OURS,prior
1235591,raltegravir 100 MG Chewable Tablet [Isentress],SBD,J05AX08,J05AJ01,CORRECT,prior
1038824,acetaminophen 650 MG / chlorpheniramine maleate 4 MG / phenylephrine hydrochloride 10 MG Powder for Oral Solution,SCD,N02BE01|R06AB04,N02BE01|R01BA03|R06AB04,KEEP_OURS,prior
1235874,{21 (ethinyl estradiol 0.035 MG / norethindrone 0.4 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Philith 28 Day],BPCK,G03CA01|G03DC02,G03AA05,CORRECT,prior
1047862,12 HR atropine sulfate 0.0582 MG / hyoscyamine sulfate 0.0582 MG / phenobarbital 48.6 MG / scopolamine hydrobromide 0.0195 MG Extended Release Oral Tablet [Phenobel],SBD,A03BA03|N03AA02,A03BA01|A03BA03|A04AD01|N03AA02|N05CM05,KEEP_OURS,prior
756269,brompheniramine 0.8 MG/ML / phenylephrine 1 MG/ML / phenylpropanolamine 1 MG/ML Oral Solution,SCD,R01BA01|R06AB01,R01BA01|R01BA03|R06AB01,KEEP_OURS,prior
208314,thiabendazole 100 MG/ML Oral Suspension [Mintezol],SBD,D01AC06|P02CA02,P02CA02,KEEP_OURS,prior
1734934,20 ML acyclovir 50 MG/ML Injection,SCD,D06BB03|J05AB01|S01AD03,J05AB01,CORRECT,prior
860217,megestrol acetate 20 MG Oral Tablet [Megace],SBD,L02AB01,G03AC05|G03DB02|L02AB01,CORRECT,prior
313137,sulfamethoxazole 80 MG/ML / trimethoprim 16 MG/ML Injectable Solution,SCD,J01EA01|J01EC01,J01EE01,CORRECT,prior
1796137,capsaicin 0.25 MG/ML / menthol 20 MG/ML Topical Cream [Zostrix Joint & Arthritis Pain Relief],SBD,N01BX04,M02AB,CORRECT,prior
1595989,allantoin 0.02 MG/MG / lidocaine 0.05 MG/MG / petrolatum 0.3 MG/MG Medicated Patch,SCD,D04AB01|N01BB02|R02AD02,N01BB02,FLAG_DATA_GAP,prior
198760,niacin 50 MG Oral Tablet,SCD,C10AD02,C04AC01,ADOPTED_RULE,prior
615979,sorafenib 200 MG Oral Tablet [Nexavar],SBD,L01XE05,L01EX02,CORRECT,prior
317865,calcium carbonate 400 MG Chewable Tablet,SCD,A12AA04,A02AC01,CORRECT,prior
1000500,"{28 (estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 5 MG Oral Tablet) } Pack [Prempro 0.625/5 28 Day]",BPCK,G03CA57|G03FA12,G03FA12,FLAG_DATA_GAP,prior
1673147,3 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection [Marcaine with Epinephrine],SBD,N01BB01,A01AD01|B02BC09|C01CA24|N01BB01|R03AA01,KEEP_OURS,prior
205596,dexamethasone acetate 8 MG/ML Injectable Suspension [Decadron-LA],SBD,H02AB02|S01BA01,A01AC02|C05AA09|H02AB02|S03BA01,KEEP_OURS,prior
727507,0.5 ML choriogonadotropin alfa 0.5 MG/ML Prefilled Syringe [Ovidrel],SBD,G03GA01|G03GA08,G03GA08,CORRECT,prior
1053761,nystatin 100000 UNT/ML / triamcinolone acetonide 1 MG/ML Topical Cream [Myco-Triacet],SBD,A01AB11|A01AC01|A07AA02|D01AA01|H02AB08|R01AD11,C05AA12|D01AA01|D07AB09|D07XB02,KEEP_OURS,prior
211297,aspirin 400 MG / caffeine 32 MG Oral Tablet [P-A-C Analgesic],SBD,N06BC01,A01AD05|B01AC06|N02BA01|N06BC01,KEEP_OURS,prior
1598052,glycerin 2.5 MG/ML Ophthalmic Solution [Oasis Tears],SBD,A06AX01,S01XA20,FLAG_DATA_GAP,prior
1000131,medroxyprogesterone acetate 400 MG/ML Injectable Suspension,SCD,G03DA02|L02AB02,L02AB02,CORRECT,prior
801192,phenylephrine tannate 1 MG/ML / pyrilamine tannate 6 MG/ML Oral Suspension [Rynesa],SBD,R01AA04|S01FB01|S01XA20,R01BA03|R06AC01,KEEP_OURS,prior
1011875,sulfacetamide sodium 90 MG/ML / sulfur 40 MG/ML Medicated Liquid Soap [Sumaxin],SBD,D10AB02,D10AF,CORRECT,prior
1302643,salicylic acid 20 MG/ML Medicated Pad [Propa P.H.],SBD,D01AE12|N02BA04,D01AE12,KEEP_OURS,prior
1304971,benzocaine 20 MG/ML / cetylpyridinium chloride 1 MG/ML / menthol 1.5 MG/ML / zinc chloride 1 MG/ML Mucous Membrane Topical Solution [Bucalsep],SBD,B05XA12,R02AA,CORRECT,prior
245650,benzocaine 80 MG/ML Topical Lotion,SCD,C05AD03|D04AB04|R02AD01,C05AD03|D04AB04,KEEP_OURS,prior
1665002,ketorolac tromethamine 15 MG/ML Injection,SCD,M01AB15|S01BC05,M01AB15,KEEP_OURS,prior
859126,alprostadil 0.125 MG Urethral Suppository [Muse],SBD,C01EA01|G04BE01,G04BE01,KEEP_OURS,prior
754028,chorionic gonadotropin 2000 UNT/ML Injectable Solution [A.P.L.],SBD,G03GA01,G03GA01|G03GA08,CORRECT,prior
206876,Ibuprofen 40 MG/ML Oral Suspension [Pediacare Fever],SBD,M01AE01|M01AE14|M02AA13,M01AE01|M01AE14,FLAG_DATA_GAP,prior
1251566,salicylic acid 0.02 MG/MG Topical Gel [clear days ahead],SBD,D01AE12|N02BA04,D11AF,CORRECT,prior
1993067,hydrogen peroxide 400 MG/ML Topical Solution [Eskata],SBD,A01AB02|D08AX01,D08AX01,CORRECT,prior
2599051,16 ML bevacizumab-maly 25 MG/ML Injection,SCD,S01LA08,L01FG01,ADJUDICATED_ADOPT,gap-resolved
1294380,diphenhydramine tannate 5 MG/ML / hydrocodone tannate 0.7 MG/ML / phenylephrine tannate 1.5 MG/ML Extended Release Suspension,SCD,R05DA03,R01BA03|R05DA03|R06AA02,KEEP_OURS,prior
1923484,10 ML sodium bicarbonate 84 MG/ML Injection,SCD,B05CB04|B05XA02,B05XA02,CORRECT,prior
312881,salicylic acid 170 MG/ML Topical Solution,SCD,D01AE12|N02BA04,D01AE12,CORRECT,prior
1542942,vancomycin 50 MG/ML Oral Suspension,SCD,A07AA09,A07AA09|J01XA01,KEEP_OURS,prior
105395,hydrocortisone 10 MG Oral Tablet [Hydrocortone],SBD,H02AB09,A01AC03|A07EA02|C05AA01|H02AB09,KEEP_OURS,prior
