rxcui,judgment,should_be,reason_category,note
1044524,CHANGE_CORRECT,,,"Tums = calcium carbonate antacid; A02AC01 correct over the dietary-supplement code A12AA04"
1430054,CHANGE_CORRECT,,,"Single-ingredient undecylenic acid spray; D01AE20 is the combinations code, doesn't apply here"
477245,CHANGE_CORRECT,,,"Oral disintegrating tablet is systemic use; D04AA32 (topical antipruritic) is wrong route, R06AA02 correct"
207359,CHANGE_CORRECT,,,"Oral suspension is systemic tetracycline; A01AB23 (stomatological) is wrong route"
857877,CHANGE_CORRECT,,,"Adds R01BA03 for phenylephrine (oral/systemic decongestant code); all three ingredients now represented"
1300191,CHANGE_CORRECT,,,"Adacel is a Tdap (acellular pertussis+diphtheria+tetanus) vaccine; J07AJ52 is the WHO combined code, better than separate toxoid codes"
1297389,UNSURE,,l4-vs-l5-granularity,"A12AX (calcium+vitD combos) is plausible as WHO's terminal group for this OTC combo but a dedicated L5 could exist; can't confirm offline"
1098125,CHANGE_CORRECT,,,"Duovisc/Provisc is a chondroitin sulfate + sodium hyaluronate viscoelastic combo; S01KA51 (sodium hyaluronate, combinations) is correct, prior M01AX25 was a wrong-class code"
804919,CHANGE_WRONG,B02BC30,missing-combo-L5,"Fibrinogen+thrombin is a fibrin-sealant combo product; WHO codes this as B02BC30 (fibrinogen, combinations), not plain B02BC06"
209717,CHANGE_CORRECT,,,"Topical ointment; correctly drops oral(A07AA01)/ophthalmic(S01AA03) route pollution, keeps neomycin/bacitracin topical codes; diperodon has no WHO code"
1087218,CHANGE_CORRECT,,,"Adds B03AA02 (ferrous fumarate) which production was missing entirely; ascorbic acid/B12/folic acid codes correct"
1011705,CHANGE_WRONG,D04AB01|N01BB02,wrong-route,"Lidocaine medicated patches (Lidoderm-type) for neuropathic pain are conventionally classified N01BB02 (local anesthesia); dropping it loses the primary code, keeping only the generic antipruritic D04AB01"
348805,CHANGE_CORRECT,,,"Combined oral contraceptive; G03AA07 (ethinylestradiol and levonorgestrel) is the correct fixed-combo code vs the mismatched estrogen-only/sequential codes"
208305,UNSURE,,no-who-code-exists,"Otic solution; none of the final codes (C05AD03/D04AB04/N01BA05/R02AD01) are otic-specific (S02/S03) — benzocaine likely lacks a dedicated otic WHO code, so this may be an acceptable ingredient-level fallback rather than an error; can't confirm offline"
1043389,CHANGE_WRONG,D07AD01|D05AA,other,"Coal tar topical solution mistakenly given S01BA17 (an ophthalmic corticosteroid code) — wrong drug class entirely; coal tar's real WHO family is D05AA (tars/antipsoriatics)"
756237,CHANGE_CORRECT,,,"Ferrous sulfate oral solution; B03AA07 is ferrous sulfate's code, B03AA01 (ferrous glycine sulfate) is a different iron salt"
1436947,UNSURE,,missing-combo-L5,"Hydrocortisone acetate + iodoquinol topical cream; D08AH (quinoline antiseptics) is plausibly the iodoquinol family but the exact L5 is unconfirmed offline, and the hydrocortisone corticosteroid component appears to be dropped entirely"
1359128,CHANGE_CORRECT,,,"Activella = estradiol/norethindrone acetate combined HRT; G03FA01 (progestogen+estrogen fixed combo) is correct vs the estrogen-only codes"
688708,CHANGE_CORRECT,,,"Ophthalmic ointment; narrowed to S01/S03-prefixed codes per the ophthalmic route allow-list (Cortisporin-type products are commonly labeled for both eye and ear use)"
248108,CHANGE_CORRECT,,,"Injectable acyclovir is systemic; J05AB01 correct, topical(D06BB03)/ophthalmic(S01AD03) route pollution correctly dropped"
208129,CHANGE_WRONG,J01AA07,ingredient-level-overbroad,"Oral capsule (systemically absorbed) should only carry J01AA07; A01AB13 (stomatological/dental) and S03AA02 (otic) are unrelated routes reintroduced as ingredient-level pollution"
748974,CHANGE_CORRECT,,,"Nor-QD is a progestogen-only pill; adds G03AC01 (norethisterone, contraceptive) alongside G03DC02"
346911,CHANGE_WRONG,N02BA04,salt-mismatch,"Sodium salicylate tablet; N02BA12 appears to be a different salicylate salt's code, not sodium salicylate — shouldn't be added"
1001713,UNSURE,,route-pollution,"Nitrofurazone topical ointment; D09AA03 appears to be a medicated-dressing-specific code (impregnated gauze) rather than an ointment code — plausible dose-form mismatch but not fully confirmed offline"
1549315,CHANGE_CORRECT,,,"Ophthalmic suspension; narrowed correctly to S01BA04 (ophthalmic prednisolone), dropping systemic/intestinal codes"
856908,CHANGE_CORRECT,,,"Confirmed against local WHO snapshot data/who-atc-snapshots/N02AJ.json: N02AJ22 = hydrocodone and paracetamol, exact match"
1085614,CHANGE_CORRECT,,,"Topical cream; nystatin=D01AA01 correct, corticosteroid codes (D07AB09/D07XB02) plus C05AA12 fall within the project's documented topical allow-list (C05 permitted for topical route)"
213556,CHANGE_CORRECT,,,"Betamethasone topical ointment; D07AC01 plus D07XC01 and C05AA05 are consistent with the topical route matrix's explicit C05 allowance"
213635,CHANGE_CORRECT,,,"Same formula/product type as Cortomycin (row 688708); ophthalmic S01/S03 codes correctly retained"
310910,CHANGE_WRONG,A01AB02|D08AG02|D08AX01|D09AA09|D11AC06|G01AX11|R02AA15,ingredient-level-overbroad,"Mouthwash (buccal/mucosal route); newly added S01AX18 (ophthalmic) and S02AA06 (otic) don't belong on an oral rinse — looks like a safety-valve ingredient-level dump rather than route-filtered result"
992660,CHANGE_CORRECT,,,"Hycodan-shape oral tablet; A03BB06 (homatropine, oral antispasmodic) + R05DA03 (hydrocodone) correct, ophthalmic mydriatic code correctly dropped"
1049406,CHANGE_WRONG,D08AJ01,salt-mismatch,"Benzalkonium chloride topical solution; D08AJ08 is benzethonium chloride's code (a different compound — confirmed by row 1045430 in the same dataset which maps benzethonium chloride to D08AJ08), incorrectly added here"
