rxcui,drug_name,tty,production_atcs,final_atcs,verdict,source
545871,acetaminophen 250 MG / aspirin 500 MG / caffeine 32.5 MG / salicylamide 150 MG Oral Tablet,SCD,N02BA05|N02BE01|N06BC01,A01AD05|B01AC06|N02BA01|N02BA05|N02BE01|N06BC01,KEEP_OURS,prior
1101019,doxycycline hyclate 50 MG Oral Capsule [Ocudox],SBD,J01AA02,A01AB22|J01AA02,CORRECT,prior
1005834,sulfacetamide sodium 100 MG/ML / sulfur 50 MG/ML Topical Cream,SCD,D10AB02,D10AF,CORRECT,prior
249465,phenylephrine 0.0025 MG/MG / witch hazel 0.5 MG/MG Rectal Gel,SCD,R01AA04|S01FB01|S01XA20,C05AX03,FLAG_DATA_GAP,prior
227897,betamethasone valerate,PIN,R03BA04,A07EA04|C05AA05|D07AC01|D07XC01|H02AB01|R01AD06|R03BA04|S01BA06|S01CB04|S02BA07|S03BA03,CORRECT,prior
746020,ferrous sulfate 28 MG Oral Tablet,SCD,B03AA01|B03AA07,B03AA07,CORRECT,prior
1542919,sodium bicarbonate 700 MG / sodium chloride 2300 MG Powder for Nasal Solution,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,CORRECT,prior
866404,capsaicin 0.5 MG/ML / menthol 100 MG/ML / methyl salicylate 200 MG/ML Topical Lotion,SCD,N01BX04,M02AC,CORRECT,prior
805375,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection",SCD,J07AF01|J07AM01,J07CA,CORRECT,prior
417547,dimethicone 25 MG/ML Topical Cream,SCD,P03AX05,D02AA,CORRECT,prior
1046611,naphazoline hydrochloride 0.5 MG/ML Nasal Spray [Privine],SBD,S01GA01,R01AA08,CORRECT,prior
207391,50 ML penicillin G potassium 60000 UNT/ML Injection,SCD,J01CE08|J01CE09,J01CE01,CORRECT,prior
210110,calcium carbonate 500 MG Chewable Tablet [Alkets],SBD,A12AA04,A02AC01|A12AA04,CORRECT,prior
315147,methandrostenolone 5 MG Oral Tablet,SCD,A14AA03|D11AE01,A14AA03,KEEP_OURS,prior
801653,alanine 11.4 MG/ML / arginine 5.7 MG/ML / dibasic potassium phosphate 5.22 MG/ML / glucose 100 MG/ML / glycine 11.4 MG/ML / histidine 2.41 MG/ML / isoleucine 2.63 MG/ML / leucine 3.4 MG/ML / lysine 3.18 MG/ML / magnesium chloride 0.02 MEQ/ML / sodium chloride 0.04 MEQ/ML / threonine 2.3 MG/ML / tryptophan 0.99 MG/ML / tyrosine 0.22 MG/ML / valine 2.52 MG/ML Injectable Solution,SCD,B05CX03|B05XB03|N06AX02,A12CA01|A12CC01|B05CB01|B05CX01|B05CX03|B05XA03|B05XA11|B05XB01|B05XB03|N06AX02|V04CA02|V06DC01,CORRECT,prior
1294338,aspirin 5.42 MG/ML / diphenhydramine citrate 0.633 MG/ML / phenylpropanolamine hydrochloride 0.25 MG/ML Oral Solution,SCD,R01BA01,A01AD05|B01AC06|N02BA01|R01BA01|R06AA02,KEEP_OURS,prior
849426,aspirin 375 MG / caffeine 30 MG / propoxyphene hydrochloride 65 MG Oral Tablet,SCD,N02AC04|N06BC01,A01AD05|B01AC06|N02AC04|N02BA01|N06BC01,KEEP_OURS,prior
309473,aspirin 380 MG / caffeine 30 MG / codeine 30 MG Oral Capsule,SCD,N06BC01|R05DA04,A01AD05|B01AC06|N02BA01|N06BC01|R05DA04,KEEP_OURS,prior
1299653,salicylic acid 30 MG/ML Medicated Shampoo [Selsun Blue Naturals],SBD,D01AE12|N02BA04,D11AC,CORRECT,prior
979338,folic acid 1 MG / polysaccharide iron complex 150 MG / vitamin B12 0.025 MG Oral Capsule [Poly Iron 150 Forte],SBD,B03BA01|B03BB01,B03AE,CORRECT,prior
