rxcui,judgment,should_be,reason_category,note
545871,CHANGE_WRONG,N02BA05|N02BE01|N06BC01,ingredient-level-overbroad,"Final adds A01AD05 (dental, unrelated), B01AC06 (aspirin antiplatelet dose), N02BA01 (aspirin monotherapy) - wrong for a 4-ingredient analgesic combo tablet."
1101019,CHANGE_WRONG,J01AA02,route-pollution,A01AB22 is doxycycline's dental/periodontal local-treatment code; this is an oral (systemic) capsule not a dental gel.
1005834,CHANGE_CORRECT,,,D10AF (antiinfectives for acne) reasonably captures sulfacetamide+sulfur acne cream; better than sulfur-only D10AB02 which ignored sulfacetamide.
249465,CHANGE_CORRECT,,,Fixes severe route pollution (nasal/ophthalmic codes on a rectal gel); C05AX fits phenylephrine+witch hazel anorectal/hemorrhoidal preparation.
227897,CHANGE_WRONG,A07EA04|C05AA05|D07AC01|D07XC01|H02AB01|R01AD06|S01BA06|S01CB04|S02BA07|S03BA03,other,"R03BA04 is a different corticosteroid's inhalant code (fluticasone/triamcinolone), not betamethasone; the rest of the list correctly reflects betamethasone's real cross-route ingredient-level codes."
746020,CHANGE_CORRECT,,,B03AA07 is the correct ferrous sulfate code; B03AA01 (a different iron salt) was correctly dropped.
1542919,CHANGE_CORRECT,,,Fixes ingredient-level route pollution (IV/oral/ophthalmic codes on a nasal saline/bicarb powder); R01AX (other nasal preparations) is a reasonable L4 fallback.
866404,UNSURE,,other,"M02AC is not a WHO subclass I can confirm exists (real WHO M02A has AA/AB/AX); the menthol/methyl salicylate/capsaicin rub likely belongs under M02AX, but I cannot verify offline."
805375,UNSURE,,l4-vs-l5-granularity,J07CA (combined bacterial/viral vaccines) is the right L4 for this DTaP-IPV-Hib product; a specific L5 (diphtheria-Hib-pertussis-poliomyelitis-tetanus) likely exists but I cannot confirm the exact suffix offline.
417547,CHANGE_CORRECT,,,D02AA (silicone skin protectant) fits a low-concentration dimethicone barrier cream better than P03AX05 (ectoparasiticide).
1046611,CHANGE_CORRECT,,,Fixes route pollution: R01AA08 (naphazoline nasal decongestant) is correct for a nasal spray; S01GA01 is the ophthalmic code.
207391,CHANGE_CORRECT,,,"J01CE01 (benzylpenicillin, plain) is correct for penicillin G potassium; J01CE08/09 are the benzathine/procaine depot-salt codes, a salt mismatch that was corrected."
210110,CHANGE_CORRECT,,,Alkets is a calcium-carbonate antacid; adding A02AC01 (antacid use) alongside A12AA04 (supplement use) reflects real dual WHO classification for this product type.
315147,CHANGE_CORRECT,,,"Drops D11AE01 (topical androgen), a wrong route for an oral tablet; A14AA03 (metandienone) is correct."
801653,UNSURE,,other,Complex custom TPN amino-acid/electrolyte infusion; no single WHO code exists for compounded formulas and I cannot verify each of the many component codes with confidence offline.
1294338,CHANGE_WRONG,R01BA01|R06AA02,ingredient-level-overbroad,Same aspirin-pollution pattern (A01AD05/B01AC06/N02BA01 unrelated to this decongestant/antihistamine cold solution); R06AA02 (diphenhydramine) was a correct addition.
849426,CHANGE_WRONG,N02AC04|N06BC01,ingredient-level-overbroad,Same aspirin-pollution pattern (A01AD05/B01AC06/N02BA01) added to an opioid/caffeine combo tablet.
309473,CHANGE_WRONG,N06BC01|R05DA04,ingredient-level-overbroad,Same aspirin-pollution pattern.
1299653,CHANGE_CORRECT,,,D11AC (antiseborrheics) correctly reclassifies a salicylic-acid medicated shampoo; drops N02BA04 (wrong-route analgesic pollution).
979338,CHANGE_CORRECT,,,"B03AE (iron + other antianemic combos) better reflects the iron/folate/B12 combo capsule than the incomplete B03BA01|B03BB01 pair, which omitted the iron component entirely."
205530,CHANGE_CORRECT,,,"Drops S01BA11 (ophthalmic corticosteroid), wrong route for a topical ointment; D07AB08 (desonide, topical) is correct."
