rxcui,verdict,recommended_final,confidence,evidence
312186,IMPROVED,S01AA30,HIGH,"WHO S01AA30='combinations of different antibiotics' (ophthalmic) exact match; J01AA06 is systemic oxytetracycline, wrong route for ophthalmic ointment"
198531,EQUIVALENT,A02AC01|A12AA04,MED,"Calcium carbonate has dual WHO codes (A02AC01 antacid vs A12AA04 mineral supplement) depending on indication RxNorm can't capture; new_final is more complete, keeping both is reasonable"
744632,IMPROVED,C09DB02,HIGH,ATCPROD=C09DB; WHO C09DB02='olmesartan medoxomil and amlodipine' exact combo match; C08CA01 mono-amlodipine code inappropriate for a fixed combo product
750244,IMPROVED,G03AA06,HIGH,"WHO G03AA06='norgestrel and ethinylestradiol' exact match; production G03CA01 is estrogen-only, wrong for a combined OC pack"
1087258,IMPROVED,A11JB,HIGH,ATCPROD confirms A11JB (NLM product-level class) for this multivitamin combo; production listed 3 separate mono-ingredient codes instead
1000001,IMPROVED,C09DX03,HIGH,"ATCPROD=C09DX; WHO C09DX03='olmesartan medoxomil, amlodipine and hydrochlorothiazide' exact 3-way match"
1086386,IMPROVED,V06DC01,HIGH,"ATCPROD confirms V06DC01 (infant feeding glucose); B05BA03 is IV parenteral-nutrition additive, wrong route for oral infant solution"
1099585,BOTH_WRONG,R01BA52,MED,"WHO R01B: combos with antihistamines classified in this group; pseudoephedrine's dedicated combo code is R01BA52. Neither uses it; new_final actually dropped it vs production, still both wrong"
417547,IMPROVED,D02AA,HIGH,"ATCPROD confirms D02AA (silicone topical); P03AX05=dimeticone is the ectoparasiticide/anti-lice code, wrong indication for a generic topical cream"
238154,BOTH_WRONG,N02BE71,MED,"WHO: paracetamol + a psycholeptic (butalbital, a barbiturate) -> N02BE71 'paracetamol, combinations with psycholeptics'; both prod/new use mono ingredient codes instead"
2047879,BOTH_WRONG,D04AB01|D08AJ01,MED,"Correct is topical lidocaine (D04AB01) + topical benzalkonium (D08AJ01); new_final dropped prod's throat/injectable mismatches but added spurious C05AD01 (rectal) and D09AA11 (dressings, wrong physical form for a spray)"
1045348,BOTH_WRONG,N01BA05,LOW,Benzocaine dental/oral gel; WHO A01AD note routes oral local anesthetics to N01B; ambiguous exact code but prod's bare R02AD01 (throat) looks route-mismatched for a gel; new_final overinclusive with 4 codes
991519,BOTH_WRONG,R05FB02,MED,Codeine(cough suppressant)+guaifenesin(expectorant) -> WHO R05FB02 'cough suppressants and expectorants' (same rule already curated in-app for DXM+guaifenesin); both prod/new list mono ingredient codes instead
309700,IMPROVED,R01AD03,HIGH,Nasal inhalant dexamethasone -> R01AD03 (nasal corticosteroid) per RxClass ATC classMembers; H02AB02(systemic)/S01BA01(ophthalmic) both wrong route
1314399,IMPROVED,A11DA01|A11HA01|A11HA02|A11HA04|A11HA30|B03BA01,HIGH,"New_final adds A11HA30=dexpanthenol (WHO-confirmed), the one ingredient production's code list omitted; all 6 ingredients now covered, nothing removed"
1038741,IMPROVED,D09AA11,HIGH,ATCPROD confirms D09AA (medicated dressings; a 'Pad' fits the dressing definition); production's D08AJ08(wrong ingredient)/R02AA16(throat) are wrong
1944692,IMPROVED,D01AC02,HIGH,Miconazole medicated shampoo -> D01AC02 (topical antifungal); production's A01AB09(oral)/G01AF04(vaginal) wrong route
1090699,BOTH_WRONG,R01BA52,MED,Pseudoephedrine+chlorpheniramine combo -> WHO routes antihistamine+decongestant combos to R01BA52; new_final kept mono R01BA02 (still wrong) but correctly dropped chlorpheniramine's mono code per the same rule
1241796,IMPROVED,A11JB,HIGH,ATCPROD confirms A11JB for this multi-mineral/vitamin combo tablet; production listed 2 separate mono ingredient codes
763106,IMPROVED,J07BF03,HIGH,"ATCPROD confirms J07BF (standalone polio vaccine); J07CA01 is for combined vaccines, wrong class for Ipol (polio-only)"
211684,IMPROVED,C04AC01,HIGH,"WHO C04AC page gives 'nicotinic acid tablets 50 mg' as its textbook example (peripheral vasodilator, low strength); C10AD02 is reserved for high-strength (500mg+) cholesterol-lowering use"
