rxcui,verdict,recommended_final,confidence,evidence
1491773,IMPROVED,D08AX08,HIGH,"Ethanol soap=antiseptic use only; V03AB16/V03AZ01 are antidote/systemic-use codes, inapplicable to a topical soap"
2055315,IMPROVED,D01AE12,HIGH,"Salicylic acid IN property API=only D01AE12+S01BC08; N02BA04 (systemic aspirin) is ingredient-pollution, wrong for topical pack"
1366646,IMPROVED,A07AA01,HIGH,Oral solution; DFG=Oral Product. D06AX04(topical)/S01AA03(ophthalmic) wrong route for neomycin oral liquid
1486985,IMPROVED,A06AG10,HIGH,"ATCPROD confirms A06AG for this exact product; WHO A06AG10='docusate sodium, incl. combinations'; A06AA02 is the oral-form code, wrong for an Enema"
637197,IMPROVED,M01AE01,HIGH,"ATCPROD confirms M01AE; M01AE14=dexibuprofen(wrong substance), M02AA13=topical(wrong route) for an IV injection"
1234546,IMPROVED,D04AB07,HIGH,"ATCPROD confirms D04AB; D04AB07=pramoxine(pramocaine). Production A16AX05=cysteamine, unrelated ingredient mismatch"
209717,IMPROVED,D06AX04|D06AX05,HIGH,"Topical ointment; D06AX04=neomycin(topical,correct), D06AX05=bacitracin(topical,correct); diperodon has no WHO ATC. Production's A07AA01(oral)/S01AA03(ophthalmic) are wrong route, missing bacitracin"
1302737,IMPROVED,D08AJ08,HIGH,ATCPROD confirms D08AJ; benzethonium topical solution. R02AA09(throat) is wrong route
1111341,IMPROVED,S01GX09,HIGH,"Patanol=ophthalmic olopatadine -> S01GX09; R01AC08 is the nasal-spray (Patanase) code, wrong route for eye drops"
1020059,IMPROVED,D10AB02|D10AF06,HIGH,"D10AB02=sulfur(correct, kept from prod), D10AF06=sulfacetamide(added, was missing) - Rosula gel has both ingredients; new_final captures both, production only had sulfur"
1995466,IMPROVED,A07AA01,HIGH,"Same as neomycin oral solution pattern; oral route only, D06AX04/S01AA03 wrong route"
1868485,IMPROVED,B05XA02,HIGH,ATCPROD confirms B05XA for this cartridge; B05CB04(irrigating solution) wrong category for an IV additive cartridge
1495106,IMPROVED,D01AE12,HIGH,Salicylic acid's only WHO codes are D01AE12/S01BC08 (no otic-specific code exists); N02BA04(systemic aspirin) wrong for otic suspension
1992305,IMPROVED,S01ED01,HIGH,"ATCPROD confirms S01ED; Betimol=ophthalmic timolol -> S01ED01. C07AA06 is oral systemic beta-blocker code, wrong route for eye drops"
865073,IMPROVED,D02AB,MED,"ATCPROD confirms D02AB ('Zinc products'); WHO has no assigned L5 under D02AB (L4-terminal). C05AX04='zinc preparations' is the anorectal/hemorrhoid-specific class, wrong for a general topical spray"
313819,IMPROVED,J01CA01,HIGH,"J01CA01=ampicillin(correct); J01CA18=hetacillin, a different antibiotic - wrong-substance code in production"
1536610,IMPROVED,G01AF04,HIGH,ATCPROD confirms G01AF for Monistat vaginal cream pack; A01AB09(oral/dental) and D01AC02(topical skin) are wrong route for a vaginal product
1012019,IMPROVED,N01BB02,HIGH,ATCPROD confirms N01BB; this concentration/product classified as local anesthetic injectable. D04AB01(topical)/R02AD02(throat) wrong route
388054,IMPROVED,S01ED51,HIGH,"ATCPROD confirms S01ED; S01ED51='timolol and latanoprost' is the dedicated WHO combination code, supersedes listing S01EE01(latanoprost monotherapy) separately"
205352,IMPROVED,R01BA01|R01BA03|R06AB04|R06AC01,MED,"All four ingredients now captured (phenylpropanolamine, phenylephrine, chlorpheniramine, pyrilamine/mepyramine) vs production's 2 of 4; minor uncertainty whether WHO 50-series ('combinations') suffixes would be more precise than plain codes for this 4-way combo"
1657781,IMPROVED,L01FG02,HIGH,"ATCPROD confirms L01FG for Cyramza (ramucirumab, VEGFR inhibitor); L01XC21 is a stale/incorrect legacy-scheme code"
855628,REGRESSED,M02AA15,HIGH,WHO DDD Adm.R for M01AB05 is O/P/R only (oral/parenteral/rectal) - not topical/transdermal; M02AA15='diclofenac' is the dedicated topical/joint-pain code and DFG for this RxCUI is 'Topical Product'. Production contained the correct M02AA15 among noise; new_final kept only the wrong M01AB05 and dropped the correct code
616906,IMPROVED,R01BA03|R05DB05|R06AB04,HIGH,"R05DB05=carbetapentane(pentoxyverine) confirmed via property API, R06AB04=chlorpheniramine, R01BA03=phenylephrine(added, was missing in production) - now captures all 3 ingredients vs production's 2 of 3"
207017,BOTH_WRONG,N02AD51,MED,"WHO defines N02AD51='pentazocine and naloxone', the exact dedicated combo code for Talwin NX. Neither production (N02AD01 alone) nor new_final (N02AD01+V03AB15 separately) use it"
1085691,BOTH_WRONG,H02AB08,HIGH,"Triamcinolone Injectable Suspension (IM/intra-articular depot) = systemic glucocorticoid H02AB08. Both prod and new wrongly include A01AC01(dental); new_final adds even more wrong-route noise (C05AA12 rectal, R03BA06 inhaled) vs production's R01AD11(nasal) - new_final has 3 wrong codes vs production's 2, worse pollution"
209304,IMPROVED,G04BC,HIGH,"ATCPROD confirms G04BC ('Urinary concrement solvents') for Cytra-K; matches its actual use (urine alkalinizer/kidney stone prevention), not A09AB04/A12BA02 (digestive/mineral supplement codes)"
1192984,IMPROVED,A06AG10,HIGH,"WHO A06AG10 explicitly says 'docusate sodium, incl. combinations' - covers the benzocaine+docusate Enemeez Plus combo under one code; ATCPROD confirms A06AG"
1659218,IMPROVED,M02AB01,HIGH,"Capsaicin's only 2 WHO codes are M02AB01(topical muscle pain) and N01BX04(specialized anesthetic patch, e.g. Qutenza); this OTC triple combo (+menthol+methyl salicylate, a rubefacient) fits M02AB01"
1043619,IMPROVED,A01AB,HIGH,ATCPROD confirms A01AB ('Antiinfectives/antiseptics for local oral treatment') for this Listerine-type mouthwash; R05CA13 (cough/cold class) is a complete ingredient mismatch
856942,IMPROVED,N02AJ22,HIGH,WHO N02AJ22='hydrocodone and paracetamol' exactly matches Hycet; ATCPROD confirms N02AJ. Production's N02BE01+R05DA03 misses the dedicated combo code entirely
1987646,IMPROVED,D10AD01,HIGH,"ATCPROD confirms D10AD for Retin-A topical gel; L01XX14 is tretinoin's oncology (acute promyelocytic leukemia) code, wrong for a topical acne gel"
901857,IMPROVED,D08AC02|D09AA12,LOW,"Chlorhexidine 'Medicated Pad' wipe; D08AC02(topical antiseptic)+D09AA12(medicated dressing) fit the wipe form factor; R02AA05(throat) dropped correctly as wrong-route, but A01AB03(dental) drop is debatable given product name references 'Dental Wipes'"
312215,IMPROVED,A03AD01,HIGH,"ATCPROD confirms A03AD; oral papaverine capsule = GI antispasmodic A03AD01. G04BE02 is papaverine's erectile-dysfunction injectable code, wrong route/indication for an oral capsule"
1722107,IMPROVED,N01BA03,HIGH,"ATCPROD confirms N01BA for Cetacaine mucosal spray (benzocaine/butamben/tetracaine, esters of aminobenzoic acid); production's C05AD03/D04AB04/R02AD01 are all wrong-route benzocaine-only codes missing the combo classification"
1870232,IMPROVED,C01CA24,HIGH,"ATCPROD confirms C01CA for Auvi-Q epinephrine auto-injector (systemic anaphylaxis use); S01EA01 is the ophthalmic glaucoma code, wrong route"
1807578,IMPROVED,B05XA03,HIGH,"ATCPROD confirms B05XA for this IV sodium chloride injection; production's list included many wrong-route/wrong-class codes (S01XA03 ophthalmic, A12CA01 supplement, etc.)"
991502,IMPROVED,R05DA04|R06AD02,HIGH,R06AD02=promethazine added (was completely missing in production); R05DA04=codeine retained. Phenergan with Codeine has both active ingredients
997518,IMPROVED,G04BA01|R01BA03|R05DA04|R06AB04,HIGH,"All 4 Rolatuss ingredients now captured (ammonium chloride, phenylephrine, codeine, chlorpheniramine) vs production's 2 of 4 (missing ammonium chloride and phenylephrine)"
202248,IMPROVED,J01EB05,HIGH,"Sulfisoxazole(sulfafurazole) oral tablet Gantrisin -> J01EB05 (oral/systemic); S01AB02 is the ophthalmic sulfonamide code, wrong route"
1303746,IMPROVED,C01EX,HIGH,ATCPROD confirms C01EX ('Other cardiac combination products') for levocarnitine/ubidecarenone combo capsule; production's A16AA01+C01EB09 are unrelated individual/wrong codes missing the combo classification
227897,BOTH_WRONG,D07AC01,HIGH,"Betamethasone valerate PIN has exactly one real RxNorm product form (Topical Foam, Luxiq); ATCPROD confirms D07AC. new_final's 11-code list wrongly unions the BASE ingredient betamethasone's full cross-route code set (nasal/otic/ophthalmic/inhaled/systemic) onto the valerate-ester PIN, none of which have real dosage forms for this PIN. Production's single R03BA04(inhaled) is also wrong"
1876498,IMPROVED,D08AJ01,HIGH,"D08AJ01=benzalkonium(correct, topical antiseptic); production's D08AJ08=benzethonium chloride is a different ingredient entirely (wrong substance), and R02AA16(throat) is wrong route"
581660,IMPROVED,D08AX08,HIGH,ATCPROD confirms D08AX; same ethanol-antiseptic pattern as other ethanol topical rows
1049086,IMPROVED,D04AB04|D08AJ08,HIGH,"D04AB04=benzocaine(topical anesthetic, added - was missing), D08AJ08=benzethonium chloride(topical antiseptic, correct); both real ingredients now captured with correct topical routing vs production's single wrong-route R02AA09(throat)"
1863605,IMPROVED,B05BB01,HIGH,ATCPROD confirms B05BB ('Solutions affecting electrolyte balance') for this IV dextrose/KCl/NaCl fluid; production's huge list includes clearly wrong-route codes (S01XA03 ophthalmic) for an IV bag
858866,IMPROVED,R01BA03|R05DA03|R06AA08,HIGH,"R01BA03=phenylephrine added (was missing); R05DA03=hydrocodone, R06AA08=carbinoxamine retained. All 3 Donatussin MAX ingredients now captured vs production's 2 of 3"
1737571,IMPROVED,C01BB01,MED,"ATCPROD confirms C01BB specifically for this exact RxCUI/product (Xylocaine plain injectable); WHO notes lidocaine used as local anesthetic classifies under N01BB but this product's NLM product-level classification is C01BB - genuine indication-based ambiguity, deferring to ATCPROD"
615100,IMPROVED,B05BB01,HIGH,Same electrolyte IV fluid combo pattern as 1863605; ATCPROD confirms B05BB
348689,IMPROVED,B03AE,HIGH,ATCPROD confirms B03AE ('Iron in other combinations') for this Hematogen-type capsule; production's component codes (A11GA01/B03BA01/B03BB01) entirely omit the ferrous fumarate (iron) ingredient
1013665,IMPROVED,J01AA08,HIGH,"ATCPROD confirms J01AA for Solodyn (minocycline, tetracycline class); A01AB23 is a dental-antiseptic code, wrong for a systemic oral antibiotic tablet"
801142,IMPROVED,B05BB01,HIGH,Combo electrolyte IV solution (Mg acetate/K acetate/NaCl); B05BB01 fits the multi-electrolyte combination pattern; production's B05XA17(potassium acetate alone) omits magnesium acetate and sodium chloride
1047765,IMPROVED,A03BA01|A03BA03|N03AA02|N05CM05,HIGH,"All 4 Donnatal ingredients now captured (atropine A03BA01, hyoscyamine A03BA03, phenobarbital N03AA02, scopolamine N05CM05) vs production's 2 of 4 (missing atropine and scopolamine)"
1655506,BOTH_WRONG,M02AB01,MED,"Same capsaicin/menthol/methyl salicylate combo as row 1659218 (Medicated Patch), which correctly resolved to M02AB01; this Topical Cream sibling instead got bare 'M02AC' (salicylate-derivatives L4, no assigned L5) - inconsistent with the sibling product and misses capsaicin's own confirmed code M02AB01. Production's N01BX04 is also wrong (specialized anesthetic-patch class)"
1094427,IMPROVED,R06AA02,HIGH,Diphenhydramine Oral Solution (Pediacare) = oral/systemic antihistamine R06AA02; D04AA32(topical) wrong route for an oral solution
208334,IMPROVED,D10AD01,HIGH,"Same tretinoin-gel pattern as row 1987646; ATCPROD confirms D10AD, L01XX14 is the oncology code, wrong for topical acne gel"
858334,BOTH_WRONG,B03BA51,MED,"WHO's own B03B guideline states 'combinations with folic acid are classified in this group [B03BA] using the 50-series' -> B03BA51 ('cyanocobalamin, combinations') is the correct code for folic acid+B12 combo. Production's B03BA01+B03BB01 (individual monotherapy codes) and new_final's 'A11JA' (wrong branch per WHO's explicit redirect, and an L4 with no assigned L5) are both incorrect"
750248,IMPROVED,G03AA01,HIGH,"WHO G03AA01='etynodiol and ethinylestradiol' is an exact match for this oral contraceptive combo pack; production's G03DC06 is etynodiol monotherapy, missing the ethinyl estradiol component"
1363779,IMPROVED,R01BA03,HIGH,"Ah-Chew D is an oral chewable tablet (single-ingredient phenylephrine); R01BA03 is the systemic/oral phenylephrine code. Production's R01AA04(topical nasal)/S01FB01(ophthalmic)/S01XA20(artificial tears, ingredient mismatch) are all wrong for an oral tablet"
1250174,IMPROVED,D08AX08,HIGH,Same ethanol-antiseptic pattern as other ethanol topical rows
1371355,IMPROVED,D07AA02|D04AB07,HIGH,"D07AA02=hydrocortisone(topical, weak corticosteroid), D04AB07=pramoxine(topical anesthetic) - both real ingredients correctly captured with topical routing; production's 7-code list is the base-ingredient cross-route union (dental/GI/systemic/ophthalmic), none applicable to a Topical Spray"
1190166,REGRESSED,D04AB01|D08AJ01,MED,"Lidocaine's topical/general-skin code is D04AB01 (confirmed via property API); C05AD01 is lidocaine's anorectal/hemorrhoid-specific code, wrong for a general topical spray. Production contained the correct D04AB01 among noise; new_final replaced it with the wrong C05AD01 while correctly keeping D08AJ01(benzalkonium)"
1433894,IMPROVED,R02AA06,MED,"Cetylpyridinium's only 4 WHO codes (from property API) are B05CA01/D08AJ03/D09AA07/R02AA06 - none is 'A01AB' (ATCPROD's suggestion appears unsupported by the ingredient's own WHO mapping). Of the 4 valid codes, R02AA06 (oropharyngeal antiseptic) is the closest match for a mouthwash; production's inclusion of B05CA01(irrigating solution)/D08AJ03(skin disinfectant)/D09AA12(wound dressing) are wrong-route for a mouthwash"
1365984,IMPROVED,A11CA01|A11GA01|A11CC05|A12CD01,HIGH,"new_final adds A12CD01(sodium fluoride) which production omitted entirely; all four active ingredients (vitamin A, vitamin C, vitamin D, fluoride) are now captured; A11JB(the ATCPROD combo suggestion) has no assigned WHO L5, individual component codes are the correct level of precision"
727505,IMPROVED,G03GA08,HIGH,"G03GA08='choriogonadotropin alfa' is the exact substance match (recombinant hCG, Ovidrel); G03GA01='chorionic gonadotrophin' is the urine-derived form, a different product - wrong substance in production"
1427997,IMPROVED,D01AE12,HIGH,"Same salicylic-acid pattern (Clearasil Toner); D01AE12 is salicylic acid's only relevant WHO code, N02BA04(systemic aspirin) is ingredient-pollution wrong for a topical toner"
1546288,IMPROVED,D07CC01,HIGH,"WHO D07CC01='betamethasone and antibiotics' is the exact dedicated combo code for this betamethasone+gentamicin spray (Gentacalm); production's 6-code list is scattered base-ingredient noise across ophthalmic/otic/systemic routes, missing the dedicated combo code"
1046378,IMPROVED,R01BA03,MED,"ATCPROD confirms R01BA specifically for this exact product (acetaminophen/phenylephrine tablet); production's N02BE01(acetaminophen alone) misses phenylephrine entirely. Minor uncertainty whether WHO's R01BA53('phenylephrine, combinations') would be more precise than plain R01BA03 given this is technically a 2-ingredient combination, and acetaminophen's own contribution is not separately represented"
1086613,IMPROVED,S01XA20,HIGH,ATCPROD confirms S01XA for Lubrifresh P.M. ophthalmic lubricant ointment; A06AA01(oral laxative code for mineral oil) is completely wrong route for an eye ointment
404044,IMPROVED,D07AA02,HIGH,"ATCPROD confirms D07AA for Dermtex HC topical cream; production's 7-code list is the hydrocortisone base-ingredient cross-route union (dental/GI/systemic/ophthalmic), none applicable to a topical cream"
309692,IMPROVED,S01BA01,HIGH,"ATCPROD confirms S01BA for dexamethasone ophthalmic suspension (Maxidex); H02AB02 is the oral/systemic code, wrong route for eye drops"
1872886,IMPROVED,D04AB01,HIGH,ATCPROD confirms D04AB for this lidocaine Medicated Pad (Alocane); N01BB02(injectable)/R02AD02(throat) wrong route for a topical pad
1375954,IMPROVED,R06AA09,HIGH,ATCPROD confirms R06AA for Diclegis (doxylamine/pyridoxine); R06AA09=doxylamine matches its FDA-approved nausea-of-pregnancy indication; production's A11HA02(pyridoxine as vitamin supplement) doesn't reflect the product's actual antiemetic classification
1011849,IMPROVED,D04AB01,HIGH,"Same lidocaine topical-gel pattern (Solarcaine); ATCPROD confirms D04AB, N01BB02/R02AD02 wrong route"
1006107,IMPROVED,D10AF06,HIGH,ATCPROD confirms D10AF for this sulfacetamide-only soap; production's D10AB02=sulfur is a wrong-ingredient code (this product contains no sulfur)
1145942,IMPROVED,N02BE51,HIGH,"WHO N02BE51='paracetamol, combinations excl. psycholeptics' is correct for acetaminophen+caffeine (Sedalmex); matches production's own included N02BE51 candidate, correctly narrowed from the noisier 3-code production list"
309290,IMPROVED,D01AE14,HIGH,"ATCPROD confirms D01AE for Loprox topical lotion; G01AX12 is ciclopirox's vaginal antifungal code, wrong route for a topical lotion"
1042693,REGRESSED,R01BA03|R05DA04|R06AB04,MED,"Production (R05DA04+R06AB04) captured codeine+chlorpheniramine correctly (missing only phenylephrine); new_final dropped chlorpheniramine's R06AB04 entirely, ending up less complete than production despite ATCPROD confirming R05DA as primary class"
2174801,IMPROVED,D04AA32,HIGH,"ATCPROD confirms D04AA for Calagel topical gel; R06AA02 is diphenhydramine's oral/systemic antihistamine code, wrong route for a topical gel"
